
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
1.29845,,Spot,156,1000000003,3340,
0.561788,,Spot,157,1000000003,3341,
0.526522,,Spot,158,1000000003,3342,
0.3152,,Spot,159,1000000003,3343,
0.361015,,Spot,160,1000000003,3344,
0.218076,,Spot,161,1000000003,3345,
0.588095,,Spot,162,1000000003,3346,
0.749801,,Spot,163,1000000003,3347,
0.573663,,Spot,164,1000000003,3348,
0.601269,,Spot,165,1000000003,3349,
0.436832,,Spot,166,1000000003,3350,
0.818851,,Spot,167,1000000003,3351,
0.408105,,Spot,168,1000000003,3352,
0.757282,,Spot,169,1000000003,3353,
1.0057,,Spot,170,1000000003,3354,
0.349979,,Spot,171,1000000003,3355,
0.993869,,Spot,172,1000000003,3356,
1.2584,,Spot,173,1000000003,3357,
0.659198,,Spot,174,1000000003,3358,
0.658004,,Spot,175,1000000003,3359,
2.25686,,Spot,176,1000000003,3360,
1.28511,,Spot,177,1000000003,3361,
0.358603,,Spot,178,1000000003,3362,
1.59928,,Spot,179,1000000003,3363,
2.67916,,Spot,180,1000000003,3364,
0.317336,,Spot,181,1000000003,3365,
0.214056,,Spot,182,1000000003,3366,
1.40026,,Spot,183,1000000003,3367,
0.733197,,Spot,184,1000000003,3368,
1.77922,,Spot,185,1000000003,3369,
0.582241,,Spot,186,1000000003,3370,
0.55878,,Spot,187,1000000003,3371,
0.651281,,Spot,188,1000000003,3372,
1.11489,,Spot,189,1000000003,3373,
0.567471,,Spot,190,1000000003,3374,
0.293154,,Spot,191,1000000003,3375,
1.13929,,Spot,192,1000000003,3377,
0.673936,,Spot,193,1000000003,3378,
0.770511,,Spot,194,1000000003,3379,
1.18319,,Spot,195,1000000003,3380,
1.79068,,Spot,196,1000000003,3381,
3.10266,,Spot,197,1000000003,3382,
1.12717,,Spot,198,1000000003,3383,
0.169121,,Spot,199,1000000003,3384,
0.195322,,Spot,200,1000000003,3385,
0.324274,,Spot,201,1000000003,3386,
0.410879,,Spot,202,1000000003,3387,
1.04723,,Spot,203,1000000003,3388,
0.736459,,Spot,204,1000000003,3389,
0.567973,,Spot,205,1000000003,3390,
0.340725,,Spot,206,1000000003,3391,
