
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,126,1000180357,180357,
0.0719795,0.0110321,0,µm,Spot,Displacement Delta,127,1000180357,180358,
-0.310261,-0.486752,-1.62,µm,Spot,Displacement Delta,128,1000180357,180359,
0,0,0,µm,Spot,Displacement Delta,195,1000180367,180367,
0.0079422,0.120001,0.143768,µm,Spot,Displacement Delta,196,1000180367,180368,
-0.178757,-0.24,-1.21254,µm,Spot,Displacement Delta,197,1000180367,180369,
0.0566139,0.24,0.51886,µm,Spot,Displacement Delta,198,1000180367,180370,
-0.301077,0.719999,0.574829,µm,Spot,Displacement Delta,199,1000180367,180371,
0,0,0,µm,Spot,Displacement Delta,200,1000180364,180364,
-0.0959148,-0.359999,-0.402939,µm,Spot,Displacement Delta,200,1000180367,180372,
0.276634,0.227234,-1.62,µm,Spot,Displacement Delta,201,1000180364,180365,
0.109198,-0.240002,0.409851,µm,Spot,Displacement Delta,201,1000180367,180373,
0.333611,-0.0695686,2.7,µm,Spot,Displacement Delta,202,1000180364,180366,
0.092289,0.84,0.768784,µm,Spot,Displacement Delta,202,1000180367,180374,
0,0,0,µm,Spot,Displacement Delta,237,1000180375,180375,
0.24,0.476749,-0.141846,µm,Spot,Displacement Delta,238,1000180375,180376,
0,0,0,µm,Spot,Displacement Delta,241,1000180377,180377,
0,-0.922483,-0.370956,µm,Spot,Displacement Delta,242,1000180377,180378,
-0.359999,0.00324059,0.822678,µm,Spot,Displacement Delta,243,1000180377,180379,
0,0,0,µm,Spot,Displacement Delta,302,1000180380,180380,
-0.409462,-0.48,1.29521,µm,Spot,Displacement Delta,303,1000180380,180381,
0.128426,-0.240002,-0.802582,µm,Spot,Displacement Delta,304,1000180380,180382,
0.0535316,0.240002,0.0105743,µm,Spot,Displacement Delta,305,1000180380,180383,
-0.34293,-0.119999,-0.453445,µm,Spot,Displacement Delta,306,1000180380,180384,
-0.234337,0.119999,-0.717987,µm,Spot,Displacement Delta,307,1000180380,180385,
-0.760609,0.84,1.33841,µm,Spot,Displacement Delta,308,1000180380,180386,
0.225147,-0.48,-0.411163,µm,Spot,Displacement Delta,309,1000180380,180387,
0.507233,0.719997,-2.01982,µm,Spot,Displacement Delta,310,1000180380,180388,
