
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
90.0027,°,Spot,Velocity Angle,126,1000180357,180357,
161.823,°,Spot,Velocity Angle,127,1000180357,180358,
160.393,°,Spot,Velocity Angle,128,1000180357,180359,
167.544,°,Spot,Velocity Angle,200,1000180364,180364,
30.2685,°,Spot,Velocity Angle,201,1000180364,180365,
7.19391,°,Spot,Velocity Angle,202,1000180364,180366,
39.9139,°,Spot,Velocity Angle,195,1000180367,180367,
168.953,°,Spot,Velocity Angle,196,1000180367,180368,
170.019,°,Spot,Velocity Angle,197,1000180367,180369,
42.1707,°,Spot,Velocity Angle,198,1000180367,180370,
72.2189,°,Spot,Velocity Angle,199,1000180367,180371,
89.3428,°,Spot,Velocity Angle,200,1000180367,180372,
28.2366,°,Spot,Velocity Angle,201,1000180367,180373,
47.7072,°,Spot,Velocity Angle,202,1000180367,180374,
104.886,°,Spot,Velocity Angle,237,1000180375,180375,
104.886,°,Spot,Velocity Angle,238,1000180375,180376,
111.91,°,Spot,Velocity Angle,241,1000180377,180377,
65.4146,°,Spot,Velocity Angle,242,1000180377,180378,
23.6354,°,Spot,Velocity Angle,243,1000180377,180379,
25.9722,°,Spot,Velocity Angle,302,1000180380,180380,
57.4893,°,Spot,Velocity Angle,303,1000180380,180381,
167.066,°,Spot,Velocity Angle,304,1000180380,180382,
144.728,°,Spot,Velocity Angle,305,1000180380,180383,
153.771,°,Spot,Velocity Angle,306,1000180380,180384,
65.8341,°,Spot,Velocity Angle,307,1000180380,180385,
34.8333,°,Spot,Velocity Angle,308,1000180380,180386,
162.415,°,Spot,Velocity Angle,309,1000180380,180387,
156.445,°,Spot,Velocity Angle,310,1000180380,180388,
