
Displacement Delta X
 ==================== 
Displacement Delta X,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,126,1000180357,180357,
0.0719795,µm,Spot,Displacement Delta,127,1000180357,180358,
-0.310261,µm,Spot,Displacement Delta,128,1000180357,180359,
0,µm,Spot,Displacement Delta,200,1000180364,180364,
0.276634,µm,Spot,Displacement Delta,201,1000180364,180365,
0.333611,µm,Spot,Displacement Delta,202,1000180364,180366,
0,µm,Spot,Displacement Delta,195,1000180367,180367,
0.0079422,µm,Spot,Displacement Delta,196,1000180367,180368,
-0.178757,µm,Spot,Displacement Delta,197,1000180367,180369,
0.0566139,µm,Spot,Displacement Delta,198,1000180367,180370,
-0.301077,µm,Spot,Displacement Delta,199,1000180367,180371,
-0.0959148,µm,Spot,Displacement Delta,200,1000180367,180372,
0.109198,µm,Spot,Displacement Delta,201,1000180367,180373,
0.092289,µm,Spot,Displacement Delta,202,1000180367,180374,
0,µm,Spot,Displacement Delta,237,1000180375,180375,
0.24,µm,Spot,Displacement Delta,238,1000180375,180376,
0,µm,Spot,Displacement Delta,241,1000180377,180377,
0,µm,Spot,Displacement Delta,242,1000180377,180378,
-0.359999,µm,Spot,Displacement Delta,243,1000180377,180379,
0,µm,Spot,Displacement Delta,302,1000180380,180380,
-0.409462,µm,Spot,Displacement Delta,303,1000180380,180381,
0.128426,µm,Spot,Displacement Delta,304,1000180380,180382,
0.0535316,µm,Spot,Displacement Delta,305,1000180380,180383,
-0.34293,µm,Spot,Displacement Delta,306,1000180380,180384,
-0.234337,µm,Spot,Displacement Delta,307,1000180380,180385,
-0.760609,µm,Spot,Displacement Delta,308,1000180380,180386,
0.225147,µm,Spot,Displacement Delta,309,1000180380,180387,
0.507233,µm,Spot,Displacement Delta,310,1000180380,180388,
