
Generation
 ==================== 
Generation,Unit,Category,Time,TrackID,ID,
0,,Spot,8,1000022515,13148974,
0,,Spot,9,1000022515,13148975,
0,,Spot,18,1000022515,13148984,
0,,Spot,21,1000022515,13148987,
0,,Spot,22,1000022515,13148988,
0,,Spot,23,1000022515,13148989,
0,,Spot,25,1000022515,13148990,
0,,Spot,26,1000022515,13148991,
0,,Spot,27,1000022515,13148992,
0,,Spot,28,1000022515,13148993,
0,,Spot,29,1000022515,13148994,
0,,Spot,30,1000022515,13148995,
0,,Spot,34,1000022515,13148999,
0,,Spot,37,1000022515,13149002,
0,,Spot,47,1000022515,13149012,
0,,Spot,52,1000022515,13149017,
0,,Spot,53,1000022515,13149018,
0,,Spot,56,1000022515,13149021,
0,,Spot,57,1000022515,13149022,
0,,Spot,58,1000022515,13149023,
0,,Spot,59,1000022515,13149024,
0,,Spot,60,1000022515,13149025,
0,,Spot,61,1000022515,13149026,
0,,Spot,73,1000022515,13149038,
0,,Spot,76,1000022515,13149041,
0,,Spot,77,1000022515,13149042,
0,,Spot,78,1000022515,13149043,
0,,Spot,79,1000022515,13149044,
0,,Spot,82,1000022515,13149047,
0,,Spot,83,1000022515,13149048,
0,,Spot,84,1000022515,13149049,
0,,Spot,87,1000022515,13149052,
0,,Spot,88,1000022515,13149053,
0,,Spot,89,1000022515,13149054,
0,,Spot,90,1000022515,13149055,
0,,Spot,93,1000022515,13149058,
0,,Spot,94,1000022515,13149059,
0,,Spot,95,1000022515,13149060,
0,,Spot,96,1000022515,13149061,
0,,Spot,97,1000022515,13149062,
0,,Spot,98,1000022515,13149063,
0,,Spot,104,1000022515,13149069,
0,,Spot,105,1000022515,13149070,
0,,Spot,106,1000022515,13149071,
0,,Spot,110,1000022515,13149075,
0,,Spot,114,1000022515,13149079,
0,,Spot,115,1000022515,13149080,
0,,Spot,116,1000022515,13149081,
0,,Spot,117,1000022515,13149082,
0,,Spot,120,1000022515,13149085,
0,,Spot,121,1000022515,13149086,
0,,Spot,122,1000022515,13149087,
0,,Spot,125,1000022515,13149090,
0,,Spot,126,1000022515,13149091,
0,,Spot,127,1000022515,13149092,
0,,Spot,131,1000022515,13149096,
0,,Spot,132,1000022515,13149097,
0,,Spot,133,1000022515,13149098,
0,,Spot,134,1000022515,13149099,
0,,Spot,135,1000022515,13149100,
0,,Spot,136,1000022515,13149101,
0,,Spot,137,1000022515,13149102,
0,,Spot,140,1000022515,13149105,
0,,Spot,143,1000022515,13149108,
0,,Spot,149,1000022515,13149114,
0,,Spot,152,1000022515,13149117,
0,,Spot,153,1000022515,13149118,
0,,Spot,156,1000022515,13149121,
0,,Spot,157,1000022515,13149122,
0,,Spot,160,1000022515,13149125,
0,,Spot,175,1000022515,13149140,
0,,Spot,184,1000022515,13149149,
0,,Spot,200,1000022515,13149246,
0,,Spot,206,1000022515,13149252,
0,,Spot,207,1000022515,13149253,
0,,Spot,208,1000022515,13149254,
0,,Spot,209,1000022515,13149255,
0,,Spot,210,1000022515,13149256,
0,,Spot,211,1000022515,13149257,
0,,Spot,238,1000022515,13149284,
0,,Spot,244,1000022515,13149290,
0,,Spot,256,1000022515,13149302,
0,,Spot,325,1000022515,13149371,
0,,Spot,328,1000022515,13149374,
0,,Spot,333,1000022515,13149379,
0,,Spot,334,1000022515,13149380,
0,,Spot,335,1000022515,13149381,
0,,Spot,336,1000022515,13149382,
0,,Spot,339,1000022515,13149385,
0,,Spot,340,1000022515,13149386,
0,,Spot,343,1000022515,13149389,
0,,Spot,344,1000022515,13149390,
0,,Spot,345,1000022515,13149391,
0,,Spot,346,1000022515,13149392,
0,,Spot,347,1000022515,13149393,
0,,Spot,348,1000022515,13149394,
0,,Spot,349,1000022515,13149395,
0,,Spot,350,1000022515,13149396,
0,,Spot,351,1000022515,13149397,
0,,Spot,352,1000022515,13149398,
0,,Spot,353,1000022515,13149399,
0,,Spot,354,1000022515,13149400,
0,,Spot,355,1000022515,13149401,
0,,Spot,356,1000022515,13149402,
0,,Spot,357,1000022515,13149403,
0,,Spot,358,1000022515,13149404,
0,,Spot,359,1000022515,13149405,
0,,Spot,360,1000022515,13149406,
0,,Spot,361,1000022515,13149407,
0,,Spot,362,1000022515,13149408,
0,,Spot,363,1000022515,13149409,
0,,Spot,366,1000022515,13149412,
0,,Spot,367,1000022515,13149413,
0,,Spot,368,1000022515,13149414,
0,,Spot,369,1000022515,13149415,
0,,Spot,370,1000022515,13149416,
0,,Spot,371,1000022515,13149417,
0,,Spot,372,1000022515,13149418,
0,,Spot,373,1000022515,13149419,
0,,Spot,374,1000022515,13149420,
0,,Spot,375,1000022515,13149421,
0,,Spot,376,1000022515,13149422,
0,,Spot,377,1000022515,13149424,
0,,Spot,378,1000022515,13149425,
0,,Spot,379,1000022515,13149427,
0,,Spot,380,1000022515,13149428,
