
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
40726,,Spot,2,Image 1,118,1000022515,13149083,
27162,,Spot,2,Image 1,119,1000022515,13149084,
26536,,Spot,2,Image 1,120,1000022515,13149085,
35464,,Spot,2,Image 1,121,1000022515,13149086,
39608,,Spot,2,Image 1,122,1000022515,13149087,
26552,,Spot,2,Image 1,123,1000022515,13149088,
33708,,Spot,2,Image 1,124,1000022515,13149089,
27620,,Spot,2,Image 1,125,1000022515,13149090,
25780,,Spot,2,Image 1,126,1000022515,13149091,
25748,,Spot,2,Image 1,127,1000022515,13149092,
22442,,Spot,2,Image 1,128,1000022515,13149093,
28274,,Spot,2,Image 1,129,1000022515,13149094,
25520,,Spot,2,Image 1,130,1000022515,13149095,
35780,,Spot,2,Image 1,131,1000022515,13149096,
24256,,Spot,2,Image 1,132,1000022515,13149097,
24966,,Spot,2,Image 1,133,1000022515,13149098,
25484,,Spot,2,Image 1,134,1000022515,13149099,
28482,,Spot,2,Image 1,135,1000022515,13149100,
33464,,Spot,2,Image 1,136,1000022515,13149101,
29564,,Spot,2,Image 1,137,1000022515,13149102,
48134,,Spot,2,Image 1,138,1000022515,13149103,
40574,,Spot,2,Image 1,139,1000022515,13149104,
28682,,Spot,2,Image 1,140,1000022515,13149105,
39176,,Spot,2,Image 1,141,1000022515,13149106,
31062,,Spot,2,Image 1,142,1000022515,13149107,
26150,,Spot,2,Image 1,143,1000022515,13149108,
25746,,Spot,2,Image 1,144,1000022515,13149109,
25434,,Spot,2,Image 1,145,1000022515,13149110,
24604,,Spot,2,Image 1,146,1000022515,13149111,
26604,,Spot,2,Image 1,147,1000022515,13149112,
26184,,Spot,2,Image 1,148,1000022515,13149113,
25348,,Spot,2,Image 1,149,1000022515,13149114,
25336,,Spot,2,Image 1,150,1000022515,13149115,
23348,,Spot,2,Image 1,151,1000022515,13149116,
28254,,Spot,2,Image 1,152,1000022515,13149117,
32274,,Spot,2,Image 1,153,1000022515,13149118,
26294,,Spot,2,Image 1,154,1000022515,13149119,
26894,,Spot,2,Image 1,155,1000022515,13149120,
36180,,Spot,2,Image 1,156,1000022515,13149121,
25948,,Spot,2,Image 1,157,1000022515,13149122,
26688,,Spot,2,Image 1,158,1000022515,13149123,
30198,,Spot,2,Image 1,159,1000022515,13149124,
27026,,Spot,2,Image 1,160,1000022515,13149125,
27288,,Spot,2,Image 1,161,1000022515,13149126,
35620,,Spot,2,Image 1,162,1000022515,13149127,
35626,,Spot,2,Image 1,163,1000022515,13149128,
27664,,Spot,2,Image 1,164,1000022515,13149129,
26242,,Spot,2,Image 1,165,1000022515,13149130,
25494,,Spot,2,Image 1,166,1000022515,13149131,
25680,,Spot,2,Image 1,167,1000022515,13149132,
25768,,Spot,2,Image 1,168,1000022515,13149133,
25002,,Spot,2,Image 1,169,1000022515,13149134,
24002,,Spot,2,Image 1,170,1000022515,13149135,
25244,,Spot,2,Image 1,171,1000022515,13149136,
25008,,Spot,2,Image 1,172,1000022515,13149137,
30488,,Spot,2,Image 1,173,1000022515,13149138,
24386,,Spot,2,Image 1,174,1000022515,13149139,
24864,,Spot,2,Image 1,175,1000022515,13149140,
24264,,Spot,2,Image 1,176,1000022515,13149141,
24904,,Spot,2,Image 1,177,1000022515,13149142,
30570,,Spot,2,Image 1,178,1000022515,13149143,
33352,,Spot,2,Image 1,179,1000022515,13149144,
25804,,Spot,2,Image 1,180,1000022515,13149145,
23784,,Spot,2,Image 1,181,1000022515,13149146,
25180,,Spot,2,Image 1,182,1000022515,13149147,
25094,,Spot,2,Image 1,183,1000022515,13149148,
35706,,Spot,2,Image 1,184,1000022515,13149149,
24828,,Spot,2,Image 1,185,1000022515,13149150,
23630,,Spot,2,Image 1,186,1000022515,13149151,
23190,,Spot,2,Image 1,187,1000022515,13149152,
23784,,Spot,2,Image 1,188,1000022515,13149153,
24192,,Spot,2,Image 1,189,1000022515,13149154,
24586,,Spot,2,Image 1,190,1000022515,13149155,
25196,,Spot,2,Image 1,191,1000022515,13149156,
23772,,Spot,2,Image 1,192,1000022515,13149157,
22324,,Spot,2,Image 1,193,1000022515,13149158,
23076,,Spot,2,Image 1,194,1000022515,13149159,
23646,,Spot,2,Image 1,195,1000022515,13149160,
23304,,Spot,2,Image 1,196,1000022515,13149161,
23214,,Spot,2,Image 1,197,1000022515,13149162,
23580,,Spot,2,Image 1,198,1000022515,13149163,
21744,,Spot,2,Image 1,199,1000022515,13149164,
