
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
6.0048e+08,,Spot,2,Image 1,93,1000000397,539,
5.99206e+08,,Spot,2,Image 1,93,1000000474,540,
5.84191e+08,,Spot,2,Image 1,94,1000000397,541,
5.78078e+08,,Spot,2,Image 1,94,1000000474,542,
5.86152e+08,,Spot,2,Image 1,95,1000000397,543,
5.78703e+08,,Spot,2,Image 1,95,1000000474,544,
5.80203e+08,,Spot,2,Image 1,96,1000000397,545,
5.79484e+08,,Spot,2,Image 1,96,1000000474,546,
6.04026e+08,,Spot,2,Image 1,97,1000000397,547,
6.04941e+08,,Spot,2,Image 1,97,1000000474,548,
6.00246e+08,,Spot,2,Image 1,98,1000000397,549,
5.9791e+08,,Spot,2,Image 1,98,1000000474,550,
5.83539e+08,,Spot,2,Image 1,99,1000000397,551,
5.76337e+08,,Spot,2,Image 1,99,1000000474,552,
6.03624e+08,,Spot,2,Image 1,100,1000000397,553,
5.94502e+08,,Spot,2,Image 1,100,1000000474,554,
6.02511e+08,,Spot,2,Image 1,101,1000000397,555,
6.00334e+08,,Spot,2,Image 1,101,1000000474,556,
5.84814e+08,,Spot,2,Image 1,102,1000000397,557,
5.80009e+08,,Spot,2,Image 1,102,1000000474,558,
6.01265e+08,,Spot,2,Image 1,103,1000000397,559,
5.97343e+08,,Spot,2,Image 1,103,1000000474,560,
6.05652e+08,,Spot,2,Image 1,104,1000000397,561,
5.94689e+08,,Spot,2,Image 1,104,1000000474,562,
5.83958e+08,,Spot,2,Image 1,105,1000000397,563,
5.81247e+08,,Spot,2,Image 1,105,1000000474,564,
5.99914e+08,,Spot,2,Image 1,106,1000000397,565,
5.98886e+08,,Spot,2,Image 1,106,1000000474,566,
5.82083e+08,,Spot,2,Image 1,107,1000000397,567,
5.81416e+08,,Spot,2,Image 1,107,1000000474,568,
6.02182e+08,,Spot,2,Image 1,108,1000000397,569,
5.96506e+08,,Spot,2,Image 1,108,1000000474,570,
5.8123e+08,,Spot,2,Image 1,109,1000000397,571,
5.80804e+08,,Spot,2,Image 1,109,1000000474,572,
5.84169e+08,,Spot,2,Image 1,110,1000000397,573,
5.78985e+08,,Spot,2,Image 1,110,1000000474,574,
6.05771e+08,,Spot,2,Image 1,111,1000000397,575,
6.00875e+08,,Spot,2,Image 1,111,1000000474,576,
6.05912e+08,,Spot,2,Image 1,112,1000000397,577,
6.01311e+08,,Spot,2,Image 1,112,1000000474,578,
6.11959e+08,,Spot,2,Image 1,113,1000000397,579,
6.03589e+08,,Spot,2,Image 1,113,1000000474,580,
5.9316e+08,,Spot,2,Image 1,114,1000000397,581,
5.83544e+08,,Spot,2,Image 1,114,1000000474,582,
6.14396e+08,,Spot,2,Image 1,115,1000000397,583,
6.03684e+08,,Spot,2,Image 1,115,1000000474,584,
5.96197e+08,,Spot,2,Image 1,116,1000000397,585,
5.81141e+08,,Spot,2,Image 1,116,1000000474,586,
5.99806e+08,,Spot,2,Image 1,117,1000000397,587,
5.85314e+08,,Spot,2,Image 1,117,1000000474,588,
6.01574e+08,,Spot,2,Image 1,118,1000000397,589,
5.7944e+08,,Spot,2,Image 1,118,1000000474,590,
6.21255e+08,,Spot,2,Image 1,119,1000000397,591,
6.04714e+08,,Spot,2,Image 1,119,1000000474,592,
6.07118e+08,,Spot,2,Image 1,120,1000000474,593,
6.05258e+08,,Spot,2,Image 1,121,1000000474,594,
5.819e+08,,Spot,2,Image 1,122,1000000474,595,
6.02951e+08,,Spot,2,Image 1,123,1000000474,596,
6.0291e+08,,Spot,2,Image 1,124,1000000474,597,
6.0832e+08,,Spot,2,Image 1,125,1000000474,598,
5.70124e+08,,Spot,2,Image 1,131,1000000599,599,
5.8943e+08,,Spot,2,Image 1,132,1000000599,600,
5.88238e+08,,Spot,2,Image 1,133,1000000599,601,
5.70512e+08,,Spot,2,Image 1,134,1000000599,602,
5.9227e+08,,Spot,2,Image 1,135,1000000599,603,
5.7381e+08,,Spot,2,Image 1,136,1000000599,604,
5.82139e+08,,Spot,2,Image 1,137,1000000599,605,
5.98892e+08,,Spot,2,Image 1,138,1000000599,606,
5.78945e+08,,Spot,2,Image 1,139,1000000599,607,
5.96011e+08,,Spot,2,Image 1,140,1000000599,608,
5.97336e+08,,Spot,2,Image 1,141,1000000599,609,
5.77754e+08,,Spot,2,Image 1,142,1000000599,610,
5.75515e+08,,Spot,2,Image 1,143,1000000599,611,
5.78433e+08,,Spot,2,Image 1,144,1000000599,612,
5.81487e+08,,Spot,2,Image 1,145,1000000599,613,
5.79248e+08,,Spot,2,Image 1,146,1000000599,614,
5.78743e+08,,Spot,2,Image 1,147,1000000599,615,
5.80102e+08,,Spot,2,Image 1,148,1000000599,616,
5.80426e+08,,Spot,2,Image 1,149,1000000599,617,
5.79155e+08,,Spot,2,Image 1,150,1000000599,618,
5.94187e+08,,Spot,2,Image 1,151,1000000599,619,
5.90486e+08,,Spot,2,Image 1,152,1000000599,620,
6.0767e+08,,Spot,2,Image 1,152,1000000621,621,
5.69278e+08,,Spot,2,Image 1,153,1000000599,622,
5.85484e+08,,Spot,2,Image 1,153,1000000621,623,
5.8519e+08,,Spot,2,Image 1,154,1000000599,624,
6.08192e+08,,Spot,2,Image 1,154,1000000621,625,
5.8448e+08,,Spot,2,Image 1,155,1000000599,626,
6.07391e+08,,Spot,2,Image 1,155,1000000621,627,
5.85471e+08,,Spot,2,Image 1,156,1000000599,628,
6.08794e+08,,Spot,2,Image 1,156,1000000621,629,
5.6568e+08,,Spot,2,Image 1,157,1000000599,630,
5.85367e+08,,Spot,2,Image 1,157,1000000621,631,
5.81183e+08,,Spot,2,Image 1,157,1000000632,632,
6.04776e+08,,Spot,2,Image 1,158,1000000621,633,
5.99688e+08,,Spot,2,Image 1,158,1000000632,634,
5.89083e+08,,Spot,2,Image 1,159,1000000621,635,
5.80892e+08,,Spot,2,Image 1,159,1000000632,636,
5.9069e+08,,Spot,2,Image 1,160,1000000621,637,
5.85373e+08,,Spot,2,Image 1,160,1000000632,638,
6.12573e+08,,Spot,2,Image 1,161,1000000621,639,
6.01472e+08,,Spot,2,Image 1,161,1000000632,640,
5.91345e+08,,Spot,2,Image 1,162,1000000621,641,
5.80314e+08,,Spot,2,Image 1,162,1000000632,642,
5.92276e+08,,Spot,2,Image 1,163,1000000621,643,
5.80003e+08,,Spot,2,Image 1,163,1000000632,644,
6.13489e+08,,Spot,2,Image 1,164,1000000621,645,
5.99019e+08,,Spot,2,Image 1,164,1000000632,646,
