
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
218.016,,Spot,2,Image 1,101,1000000474,556,
216.04,,Spot,2,Image 1,102,1000000397,557,
214,,Spot,2,Image 1,102,1000000474,558,
220.08,,Spot,2,Image 1,103,1000000397,559,
218.016,,Spot,2,Image 1,103,1000000474,560,
218.04,,Spot,2,Image 1,104,1000000397,561,
218,,Spot,2,Image 1,104,1000000474,562,
215.984,,Spot,2,Image 1,105,1000000397,563,
214.04,,Spot,2,Image 1,105,1000000474,564,
218.04,,Spot,2,Image 1,106,1000000397,565,
217.984,,Spot,2,Image 1,106,1000000474,566,
215.968,,Spot,2,Image 1,107,1000000397,567,
216.032,,Spot,2,Image 1,107,1000000474,568,
218.016,,Spot,2,Image 1,108,1000000397,569,
217.984,,Spot,2,Image 1,108,1000000474,570,
216.032,,Spot,2,Image 1,109,1000000397,571,
214,,Spot,2,Image 1,109,1000000474,572,
216.048,,Spot,2,Image 1,110,1000000397,573,
214,,Spot,2,Image 1,110,1000000474,574,
218.048,,Spot,2,Image 1,111,1000000397,575,
217.968,,Spot,2,Image 1,111,1000000474,576,
219.952,,Spot,2,Image 1,112,1000000397,577,
219.952,,Spot,2,Image 1,112,1000000474,578,
219.952,,Spot,2,Image 1,113,1000000397,579,
218.08,,Spot,2,Image 1,113,1000000474,580,
215.984,,Spot,2,Image 1,114,1000000397,581,
216.032,,Spot,2,Image 1,114,1000000474,582,
220.048,,Spot,2,Image 1,115,1000000397,583,
217.952,,Spot,2,Image 1,115,1000000474,584,
217.984,,Spot,2,Image 1,116,1000000397,585,
214.032,,Spot,2,Image 1,116,1000000474,586,
218.032,,Spot,2,Image 1,117,1000000397,587,
216.016,,Spot,2,Image 1,117,1000000474,588,
218.08,,Spot,2,Image 1,118,1000000397,589,
213.968,,Spot,2,Image 1,118,1000000474,590,
222,,Spot,2,Image 1,119,1000000397,591,
218,,Spot,2,Image 1,119,1000000474,592,
219.992,,Spot,2,Image 1,120,1000000474,593,
218.08,,Spot,2,Image 1,121,1000000474,594,
215.984,,Spot,2,Image 1,122,1000000474,595,
217.968,,Spot,2,Image 1,123,1000000474,596,
218,,Spot,2,Image 1,124,1000000474,597,
220.04,,Spot,2,Image 1,125,1000000474,598,
211.984,,Spot,2,Image 1,131,1000000599,599,
216.016,,Spot,2,Image 1,132,1000000599,600,
216.048,,Spot,2,Image 1,133,1000000599,601,
211.992,,Spot,2,Image 1,134,1000000599,602,
216.04,,Spot,2,Image 1,135,1000000599,603,
214.036,,Spot,2,Image 1,136,1000000599,604,
214.032,,Spot,2,Image 1,137,1000000599,605,
218.016,,Spot,2,Image 1,138,1000000599,606,
214,,Spot,2,Image 1,139,1000000599,607,
218.016,,Spot,2,Image 1,140,1000000599,608,
218,,Spot,2,Image 1,141,1000000599,609,
214.04,,Spot,2,Image 1,142,1000000599,610,
