
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
11.1349,µm,Spot,60,1000000397,473,
11.1349,µm,Spot,60,1000000474,474,
9.60629,µm,Spot,61,1000000397,475,
9.60629,µm,Spot,61,1000000474,476,
9.52264,µm,Spot,62,1000000397,477,
9.52264,µm,Spot,62,1000000474,478,
9.0204,µm,Spot,63,1000000397,479,
9.0204,µm,Spot,63,1000000474,480,
9.85633,µm,Spot,64,1000000397,481,
9.85633,µm,Spot,64,1000000474,482,
10.0728,µm,Spot,65,1000000397,483,
10.0728,µm,Spot,65,1000000474,484,
9.20662,µm,Spot,66,1000000397,485,
9.20662,µm,Spot,66,1000000474,486,
8.83875,µm,Spot,67,1000000397,487,
8.83875,µm,Spot,67,1000000474,488,
8.83854,µm,Spot,68,1000000397,489,
8.83854,µm,Spot,68,1000000474,490,
9.83228,µm,Spot,69,1000000397,491,
9.83228,µm,Spot,69,1000000474,492,
9.39117,µm,Spot,70,1000000397,493,
9.39117,µm,Spot,70,1000000474,494,
9.95681,µm,Spot,71,1000000397,495,
9.95681,µm,Spot,71,1000000474,496,
9.08953,µm,Spot,72,1000000397,497,
9.08953,µm,Spot,72,1000000474,498,
8.50367,µm,Spot,73,1000000397,499,
8.50367,µm,Spot,73,1000000474,500,
8.14163,µm,Spot,74,1000000397,501,
8.14163,µm,Spot,74,1000000474,502,
9.20637,µm,Spot,75,1000000397,503,
9.20637,µm,Spot,75,1000000474,504,
9.02154,µm,Spot,76,1000000397,505,
9.02154,µm,Spot,76,1000000474,506,
7.98879,µm,Spot,77,1000000397,507,
7.98879,µm,Spot,77,1000000474,508,
8.15795,µm,Spot,78,1000000397,509,
8.15795,µm,Spot,78,1000000474,510,
7.23411,µm,Spot,79,1000000397,511,
7.23411,µm,Spot,79,1000000474,512,
8.29986,µm,Spot,80,1000000397,513,
8.29986,µm,Spot,80,1000000474,514,
7.74113,µm,Spot,81,1000000397,515,
7.74113,µm,Spot,81,1000000474,516,
8.03369,µm,Spot,82,1000000397,517,
8.03369,µm,Spot,82,1000000474,518,
8.07174,µm,Spot,83,1000000397,519,
8.07174,µm,Spot,83,1000000474,520,
7.77828,µm,Spot,84,1000000397,521,
7.77828,µm,Spot,84,1000000474,522,
6.96138,µm,Spot,85,1000000397,523,
6.96138,µm,Spot,85,1000000474,524,
7.35238,µm,Spot,86,1000000397,525,
7.35238,µm,Spot,86,1000000474,526,
4.14284,µm,Spot,87,1000000397,527,
4.14284,µm,Spot,87,1000000474,528,
3.84314,µm,Spot,88,1000000397,529,
3.84314,µm,Spot,88,1000000474,530,
4.29353,µm,Spot,89,1000000397,531,
4.29353,µm,Spot,89,1000000474,532,
4.2958,µm,Spot,90,1000000397,533,
4.2958,µm,Spot,90,1000000474,534,
4.46275,µm,Spot,91,1000000397,535,
4.46275,µm,Spot,91,1000000474,536,
4.20749,µm,Spot,92,1000000397,537,
4.20749,µm,Spot,92,1000000474,538,
4.95143,µm,Spot,93,1000000397,539,
4.95143,µm,Spot,93,1000000474,540,
5.39212,µm,Spot,94,1000000397,541,
5.39212,µm,Spot,94,1000000474,542,
5.46105,µm,Spot,95,1000000397,543,
5.46105,µm,Spot,95,1000000474,544,
5.81706,µm,Spot,96,1000000397,545,
5.81706,µm,Spot,96,1000000474,546,
5.01472,µm,Spot,97,1000000397,547,
5.01472,µm,Spot,97,1000000474,548,
5.14199,µm,Spot,98,1000000397,549,
5.14199,µm,Spot,98,1000000474,550,
4.531,µm,Spot,99,1000000397,551,
4.531,µm,Spot,99,1000000474,552,
5.12532,µm,Spot,100,1000000397,553,
5.12532,µm,Spot,100,1000000474,554,
5.10363,µm,Spot,101,1000000397,555,
5.10363,µm,Spot,101,1000000474,556,
5.47231,µm,Spot,102,1000000397,557,
5.47231,µm,Spot,102,1000000474,558,
