
Average Distance To 3 Nearest Neighbours
 ==================== 
Average Distance To 3 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
0,µm,Spot,174,1000000621,665,
0,µm,Spot,174,1000000632,666,
0,µm,Spot,175,1000000621,667,
0,µm,Spot,175,1000000632,668,
0,µm,Spot,176,1000000621,669,
0,µm,Spot,176,1000000632,670,
0,µm,Spot,177,1000000621,671,
0,µm,Spot,177,1000000632,672,
0,µm,Spot,178,1000000621,673,
0,µm,Spot,178,1000000632,674,
0,µm,Spot,180,1000000621,676,
0,µm,Spot,180,,677,
