
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
22,,Spot,22,1000000397,397,
23,,Spot,23,1000000397,399,
24,,Spot,24,1000000397,401,
25,,Spot,25,1000000397,403,
26,,Spot,26,1000000397,405,
27,,Spot,27,1000000397,407,
28,,Spot,28,1000000397,409,
29,,Spot,29,1000000397,411,
30,,Spot,30,1000000397,413,
31,,Spot,31,1000000397,415,
32,,Spot,32,1000000397,417,
33,,Spot,33,1000000397,419,
34,,Spot,34,1000000397,421,
35,,Spot,35,1000000397,423,
36,,Spot,36,1000000397,425,
37,,Spot,37,1000000397,427,
38,,Spot,38,1000000397,429,
39,,Spot,39,1000000397,431,
40,,Spot,40,1000000397,433,
41,,Spot,41,1000000397,435,
42,,Spot,42,1000000397,437,
43,,Spot,43,1000000397,439,
44,,Spot,44,1000000397,441,
45,,Spot,45,1000000397,443,
46,,Spot,46,1000000397,445,
47,,Spot,47,1000000397,447,
48,,Spot,48,1000000397,449,
49,,Spot,49,1000000397,451,
50,,Spot,50,1000000397,453,
51,,Spot,51,1000000397,455,
52,,Spot,52,1000000397,457,
53,,Spot,53,1000000397,459,
54,,Spot,54,1000000397,461,
55,,Spot,55,1000000397,463,
56,,Spot,56,1000000397,465,
57,,Spot,57,1000000397,467,
58,,Spot,58,1000000397,469,
59,,Spot,59,1000000397,471,
60,,Spot,60,1000000397,473,
60,,Spot,60,1000000474,474,
61,,Spot,61,1000000397,475,
61,,Spot,61,1000000474,476,
62,,Spot,62,1000000397,477,
62,,Spot,62,1000000474,478,
63,,Spot,63,1000000397,479,
63,,Spot,63,1000000474,480,
64,,Spot,64,1000000397,481,
64,,Spot,64,1000000474,482,
65,,Spot,65,1000000397,483,
65,,Spot,65,1000000474,484,
66,,Spot,66,1000000397,485,
66,,Spot,66,1000000474,486,
67,,Spot,67,1000000397,487,
67,,Spot,67,1000000474,488,
68,,Spot,68,1000000397,489,
68,,Spot,68,1000000474,490,
69,,Spot,69,1000000397,491,
69,,Spot,69,1000000474,492,
70,,Spot,70,1000000397,493,
70,,Spot,70,1000000474,494,
71,,Spot,71,1000000397,495,
71,,Spot,71,1000000474,496,
72,,Spot,72,1000000397,497,
72,,Spot,72,1000000474,498,
73,,Spot,73,1000000397,499,
73,,Spot,73,1000000474,500,
74,,Spot,74,1000000397,501,
74,,Spot,74,1000000474,502,
75,,Spot,75,1000000397,503,
75,,Spot,75,1000000474,504,
76,,Spot,76,1000000397,505,
76,,Spot,76,1000000474,506,
77,,Spot,77,1000000397,507,
77,,Spot,77,1000000474,508,
78,,Spot,78,1000000397,509,
78,,Spot,78,1000000474,510,
79,,Spot,79,1000000397,511,
79,,Spot,79,1000000474,512,
80,,Spot,80,1000000397,513,
80,,Spot,80,1000000474,514,
81,,Spot,81,1000000397,515,
81,,Spot,81,1000000474,516,
82,,Spot,82,1000000397,517,
82,,Spot,82,1000000474,518,
83,,Spot,83,1000000397,519,
83,,Spot,83,1000000474,520,
84,,Spot,84,1000000397,521,
84,,Spot,84,1000000474,522,
85,,Spot,85,1000000397,523,
85,,Spot,85,1000000474,524,
86,,Spot,86,1000000397,525,
86,,Spot,86,1000000474,526,
87,,Spot,87,1000000397,527,
87,,Spot,87,1000000474,528,
88,,Spot,88,1000000397,529,
88,,Spot,88,1000000474,530,
89,,Spot,89,1000000397,531,
89,,Spot,89,1000000474,532,
90,,Spot,90,1000000397,533,
90,,Spot,90,1000000474,534,
91,,Spot,91,1000000397,535,
91,,Spot,91,1000000474,536,
92,,Spot,92,1000000397,537,
92,,Spot,92,1000000474,538,
93,,Spot,93,1000000397,539,
93,,Spot,93,1000000474,540,
94,,Spot,94,1000000397,541,
94,,Spot,94,1000000474,542,
95,,Spot,95,1000000397,543,
95,,Spot,95,1000000474,544,
96,,Spot,96,1000000397,545,
96,,Spot,96,1000000474,546,
97,,Spot,97,1000000397,547,
97,,Spot,97,1000000474,548,
98,,Spot,98,1000000397,549,
98,,Spot,98,1000000474,550,
99,,Spot,99,1000000397,551,
99,,Spot,99,1000000474,552,
100,,Spot,100,1000000397,553,
100,,Spot,100,1000000474,554,
101,,Spot,101,1000000397,555,
101,,Spot,101,1000000474,556,
102,,Spot,102,1000000397,557,
102,,Spot,102,1000000474,558,
103,,Spot,103,1000000397,559,
103,,Spot,103,1000000474,560,
104,,Spot,104,1000000397,561,
104,,Spot,104,1000000474,562,
105,,Spot,105,1000000397,563,
105,,Spot,105,1000000474,564,
106,,Spot,106,1000000397,565,
106,,Spot,106,1000000474,566,
107,,Spot,107,1000000397,567,
107,,Spot,107,1000000474,568,
108,,Spot,108,1000000397,569,
108,,Spot,108,1000000474,570,
109,,Spot,109,1000000397,571,
109,,Spot,109,1000000474,572,
110,,Spot,110,1000000397,573,
110,,Spot,110,1000000474,574,
111,,Spot,111,1000000397,575,
111,,Spot,111,1000000474,576,
112,,Spot,112,1000000397,577,
112,,Spot,112,1000000474,578,
113,,Spot,113,1000000397,579,
113,,Spot,113,1000000474,580,
114,,Spot,114,1000000397,581,
114,,Spot,114,1000000474,582,
115,,Spot,115,1000000397,583,
115,,Spot,115,1000000474,584,
116,,Spot,116,1000000397,585,
116,,Spot,116,1000000474,586,
117,,Spot,117,1000000397,587,
117,,Spot,117,1000000474,588,
118,,Spot,118,1000000397,589,
118,,Spot,118,1000000474,590,
119,,Spot,119,1000000397,591,
119,,Spot,119,1000000474,592,
120,,Spot,120,1000000474,593,
121,,Spot,121,1000000474,594,
122,,Spot,122,1000000474,595,
123,,Spot,123,1000000474,596,
124,,Spot,124,1000000474,597,
125,,Spot,125,1000000474,598,
131,,Spot,131,1000000599,599,
132,,Spot,132,1000000599,600,
133,,Spot,133,1000000599,601,
134,,Spot,134,1000000599,602,
135,,Spot,135,1000000599,603,
136,,Spot,136,1000000599,604,
137,,Spot,137,1000000599,605,
138,,Spot,138,1000000599,606,
139,,Spot,139,1000000599,607,
140,,Spot,140,1000000599,608,
141,,Spot,141,1000000599,609,
142,,Spot,142,1000000599,610,
143,,Spot,143,1000000599,611,
144,,Spot,144,1000000599,612,
145,,Spot,145,1000000599,613,
146,,Spot,146,1000000599,614,
147,,Spot,147,1000000599,615,
148,,Spot,148,1000000599,616,
149,,Spot,149,1000000599,617,
150,,Spot,150,1000000599,618,
151,,Spot,151,1000000599,619,
152,,Spot,152,1000000599,620,
152,,Spot,152,1000000621,621,
153,,Spot,153,1000000599,622,
153,,Spot,153,1000000621,623,
154,,Spot,154,1000000599,624,
154,,Spot,154,1000000621,625,
155,,Spot,155,1000000599,626,
155,,Spot,155,1000000621,627,
156,,Spot,156,1000000599,628,
156,,Spot,156,1000000621,629,
157,,Spot,157,1000000599,630,
157,,Spot,157,1000000621,631,
157,,Spot,157,1000000632,632,
158,,Spot,158,1000000621,633,
158,,Spot,158,1000000632,634,
159,,Spot,159,1000000621,635,
159,,Spot,159,1000000632,636,
160,,Spot,160,1000000621,637,
160,,Spot,160,1000000632,638,
161,,Spot,161,1000000621,639,
161,,Spot,161,1000000632,640,
162,,Spot,162,1000000621,641,
162,,Spot,162,1000000632,642,
163,,Spot,163,1000000621,643,
163,,Spot,163,1000000632,644,
164,,Spot,164,1000000621,645,
164,,Spot,164,1000000632,646,
165,,Spot,165,1000000621,647,
165,,Spot,165,1000000632,648,
166,,Spot,166,1000000621,649,
