
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
24.0827,38.7685,13.75,µm,Track,Track Position Start,1000000000,
0.113651,45.9037,8.25,µm,Track,Track Position Start,1000000139,
27.6502,45.2641,28.75,µm,Track,Track Position Start,1000000209,
0.057865,31.3162,18.1899,µm,Track,Track Position Start,1000000287,
23.0463,37.0915,25.5967,µm,Track,Track Position Start,1000000336,
26.6758,43.4308,15.6858,µm,Track,Track Position Start,1000000452,
27.2337,23.8982,13.8122,µm,Track,Track Position Start,1000000612,
31.8836,34.3841,29.5029,µm,Track,Track Position Start,1000000730,
17.5084,27.4859,20.2492,µm,Track,Track Position Start,1000000753,
17.2354,24.9974,20.25,µm,Track,Track Position Start,1000000794,
25.6342,31.1842,24.5622,µm,Track,Track Position Start,1000000806,
