
Distance To Nearest Neighbour
 ==================== 
Distance To Nearest Neighbour,Unit,Category,Time,TrackID,ID,
13.8401,µm,Spot,217,1000000452,456,
14.3069,µm,Spot,218,1000000336,457,
14.3069,µm,Spot,218,1000000452,458,
14.028,µm,Spot,219,1000000336,459,
14.028,µm,Spot,219,1000000452,460,
13.4351,µm,Spot,220,1000000336,461,
13.4351,µm,Spot,220,1000000452,462,
13.627,µm,Spot,221,1000000336,463,
13.627,µm,Spot,221,1000000452,464,
13.2999,µm,Spot,222,1000000336,465,
13.2999,µm,Spot,222,1000000452,466,
14.0391,µm,Spot,223,1000000336,467,
14.0391,µm,Spot,223,1000000452,468,
14.3793,µm,Spot,224,1000000336,469,
14.3793,µm,Spot,224,1000000452,470,
14.8543,µm,Spot,225,1000000336,471,
14.8543,µm,Spot,225,1000000452,472,
14.21,µm,Spot,226,1000000336,473,
14.21,µm,Spot,226,1000000452,474,
14.7643,µm,Spot,227,1000000336,475,
14.7643,µm,Spot,227,1000000452,476,
13.9176,µm,Spot,228,1000000336,477,
13.9176,µm,Spot,228,1000000452,478,
13.7527,µm,Spot,229,1000000336,479,
13.7527,µm,Spot,229,1000000452,480,
14.145,µm,Spot,230,1000000336,481,
14.145,µm,Spot,230,1000000452,482,
13.9496,µm,Spot,231,1000000336,483,
13.9496,µm,Spot,231,1000000452,484,
14.449,µm,Spot,232,1000000336,485,
14.449,µm,Spot,232,1000000452,486,
14.2469,µm,Spot,233,1000000336,487,
14.2469,µm,Spot,233,1000000452,488,
14.0879,µm,Spot,234,1000000336,489,
14.0879,µm,Spot,234,1000000452,490,
13.7484,µm,Spot,235,1000000336,491,
13.7484,µm,Spot,235,1000000452,492,
13.2937,µm,Spot,236,1000000336,493,
13.2937,µm,Spot,236,1000000452,494,
13.1347,µm,Spot,237,1000000336,495,
13.1347,µm,Spot,237,1000000452,496,
12.4989,µm,Spot,238,1000000336,497,
12.4989,µm,Spot,238,1000000452,498,
12.8098,µm,Spot,239,1000000336,499,
12.8098,µm,Spot,239,1000000452,500,
12.5246,µm,Spot,240,1000000336,501,
12.5246,µm,Spot,240,1000000452,502,
12.2852,µm,Spot,241,1000000336,503,
12.2852,µm,Spot,241,1000000452,504,
12.2428,µm,Spot,242,1000000336,505,
12.2428,µm,Spot,242,1000000452,506,
11.5242,µm,Spot,243,1000000336,507,
11.5242,µm,Spot,243,1000000452,508,
11.7899,µm,Spot,244,1000000336,509,
11.7899,µm,Spot,244,1000000452,510,
11.4972,µm,Spot,245,1000000336,511,
11.4972,µm,Spot,245,1000000452,512,
11.7445,µm,Spot,246,1000000336,513,
11.7445,µm,Spot,246,1000000452,514,
11.9661,µm,Spot,247,1000000336,515,
11.9661,µm,Spot,247,1000000452,516,
18.9845,µm,Spot,268,1000000452,537,
18.9845,µm,Spot,268,1000000612,612,
18.6315,µm,Spot,269,1000000452,613,
18.6315,µm,Spot,269,1000000612,614,
18.6261,µm,Spot,270,1000000452,615,
18.6261,µm,Spot,270,1000000612,616,
18.3161,µm,Spot,271,1000000452,617,
18.3161,µm,Spot,271,1000000612,618,
19.1671,µm,Spot,272,1000000452,619,
19.1671,µm,Spot,272,1000000612,620,
