
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
11.4226,23.1401,21.9311,µm,Track,Track Position,1000000051,
11.9136,25.5537,12.657,µm,Track,Track Position,1000000094,
17.1144,25.6068,8.32291,µm,Track,Track Position,1000000192,
28.5029,28.7534,21.8563,µm,Track,Track Position,1000000195,
17.0603,22.065,9.25212,µm,Track,Track Position,1000000198,
26.1234,24.051,25.3288,µm,Track,Track Position,1000000261,
37.0356,37.6207,33.6519,µm,Track,Track Position,1000000277,
43.5207,28.9328,18.6154,µm,Track,Track Position,1000000292,
27.7059,26.4458,23.6228,µm,Track,Track Position,1000000307,
35.311,18.4579,12.0266,µm,Track,Track Position,1000000330,
26.9923,34.2786,29.7265,µm,Track,Track Position,1000000371,
31.0793,22.6836,19.7808,µm,Track,Track Position,1000000372,
30.5632,35.0296,29.8573,µm,Track,Track Position,1000000401,
36.8627,22.2642,35.2914,µm,Track,Track Position,1000000456,
26.9946,23.5649,38.8352,µm,Track,Track Position,1000000469,
23.0304,18.6972,29.2525,µm,Track,Track Position,1000000496,
