
Track Intensity Max Ch=3 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
326,,Track,3,Image 1,1000000051,
362,,Track,3,Image 1,1000000094,
336,,Track,3,Image 1,1000000192,
338,,Track,3,Image 1,1000000195,
338,,Track,3,Image 1,1000000198,
348,,Track,3,Image 1,1000000261,
348,,Track,3,Image 1,1000000277,
320,,Track,3,Image 1,1000000292,
330,,Track,3,Image 1,1000000307,
344,,Track,3,Image 1,1000000330,
318,,Track,3,Image 1,1000000371,
302,,Track,3,Image 1,1000000372,
314,,Track,3,Image 1,1000000401,
356,,Track,3,Image 1,1000000456,
320,,Track,3,Image 1,1000000469,
314,,Track,3,Image 1,1000000496,
