
Track Intensity Min Ch=1 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
156,,Track,1,Image 1,1000000051,
164,,Track,1,Image 1,1000000094,
0,,Track,1,Image 1,1000000192,
128,,Track,1,Image 1,1000000195,
0,,Track,1,Image 1,1000000198,
164,,Track,1,Image 1,1000000261,
160,,Track,1,Image 1,1000000277,
158,,Track,1,Image 1,1000000292,
170,,Track,1,Image 1,1000000307,
150,,Track,1,Image 1,1000000330,
126,,Track,1,Image 1,1000000371,
0,,Track,1,Image 1,1000000372,
152,,Track,1,Image 1,1000000401,
126,,Track,1,Image 1,1000000456,
168,,Track,1,Image 1,1000000469,
164,,Track,1,Image 1,1000000496,
