
Track Intensity Sum Ch=1 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
6.92931e+07,,Track,1,Image 1,1000000051,
2.15755e+07,,Track,1,Image 1,1000000094,
3.72838e+07,,Track,1,Image 1,1000000192,
4.85525e+07,,Track,1,Image 1,1000000195,
3.45479e+07,,Track,1,Image 1,1000000198,
3.08651e+07,,Track,1,Image 1,1000000261,
2.99441e+07,,Track,1,Image 1,1000000277,
5.06618e+07,,Track,1,Image 1,1000000292,
2.37876e+07,,Track,1,Image 1,1000000307,
2.311e+07,,Track,1,Image 1,1000000330,
4.48951e+07,,Track,1,Image 1,1000000371,
2.2893e+07,,Track,1,Image 1,1000000372,
4.45278e+07,,Track,1,Image 1,1000000401,
3.8153e+07,,Track,1,Image 1,1000000456,
2.88007e+07,,Track,1,Image 1,1000000469,
2.09865e+07,,Track,1,Image 1,1000000496,
