
Track Intensity Mean Ch=1 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
203.35,,Track,1,Image 1,1000000051,
207.863,,Track,1,Image 1,1000000094,
207.872,,Track,1,Image 1,1000000192,
205.387,,Track,1,Image 1,1000000195,
203.1,,Track,1,Image 1,1000000198,
204.303,,Track,1,Image 1,1000000261,
211.436,,Track,1,Image 1,1000000277,
205.807,,Track,1,Image 1,1000000292,
209.26,,Track,1,Image 1,1000000307,
204.035,,Track,1,Image 1,1000000330,
206.586,,Track,1,Image 1,1000000371,
201.725,,Track,1,Image 1,1000000372,
204.525,,Track,1,Image 1,1000000401,
201.997,,Track,1,Image 1,1000000456,
202.674,,Track,1,Image 1,1000000469,
202.083,,Track,1,Image 1,1000000496,
