
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
315.056,,Track,2,Image 1,1000000051,
309.636,,Track,2,Image 1,1000000094,
367.789,,Track,2,Image 1,1000000192,
297.6,,Track,2,Image 1,1000000195,
332,,Track,2,Image 1,1000000198,
306.375,,Track,2,Image 1,1000000261,
444,,Track,2,Image 1,1000000277,
307.077,,Track,2,Image 1,1000000292,
379.667,,Track,2,Image 1,1000000307,
337.667,,Track,2,Image 1,1000000330,
330.522,,Track,2,Image 1,1000000371,
301.167,,Track,2,Image 1,1000000372,
337.217,,Track,2,Image 1,1000000401,
304.7,,Track,2,Image 1,1000000456,
295.882,,Track,2,Image 1,1000000469,
272,,Track,2,Image 1,1000000496,
