
Track Shortest Distance to Spots Min Spots=Centrosome
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
4.3315,µm,Track,Centrosome,1000000051,
0.982126,µm,Track,Centrosome,1000000094,
3.4072,µm,Track,Centrosome,1000000192,
5.01926,µm,Track,Centrosome,1000000195,
2.3047,µm,Track,Centrosome,1000000198,
2.22127,µm,Track,Centrosome,1000000261,
3.21606,µm,Track,Centrosome,1000000277,
2.5169,µm,Track,Centrosome,1000000292,
5.07612,µm,Track,Centrosome,1000000307,
2.11689,µm,Track,Centrosome,1000000330,
5.60332,µm,Track,Centrosome,1000000371,
3.99002,µm,Track,Centrosome,1000000372,
8.00886,µm,Track,Centrosome,1000000401,
3.16528,µm,Track,Centrosome,1000000456,
4.46985,µm,Track,Centrosome,1000000469,
3.95889,µm,Track,Centrosome,1000000496,
