
Track Intensity Center Mean Ch=1 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
204,,Track,1,Image 1,1000000051,
210.545,,Track,1,Image 1,1000000094,
209.263,,Track,1,Image 1,1000000192,
206.32,,Track,1,Image 1,1000000195,
208,,Track,1,Image 1,1000000198,
206.125,,Track,1,Image 1,1000000261,
206.667,,Track,1,Image 1,1000000277,
206.769,,Track,1,Image 1,1000000292,
208.5,,Track,1,Image 1,1000000307,
201.833,,Track,1,Image 1,1000000330,
206,,Track,1,Image 1,1000000371,
204.5,,Track,1,Image 1,1000000372,
207.304,,Track,1,Image 1,1000000401,
197.7,,Track,1,Image 1,1000000456,
205.294,,Track,1,Image 1,1000000469,
206,,Track,1,Image 1,1000000496,
