
Track Intensity Sum Ch=2 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
1.08749e+08,,Track,2,Image 1,1000000051,
3.18949e+07,,Track,2,Image 1,1000000094,
6.53332e+07,,Track,2,Image 1,1000000192,
7.32207e+07,,Track,2,Image 1,1000000195,
5.68245e+07,,Track,2,Image 1,1000000198,
4.56941e+07,,Track,2,Image 1,1000000261,
6.5819e+07,,Track,2,Image 1,1000000277,
7.75233e+07,,Track,2,Image 1,1000000292,
4.13151e+07,,Track,2,Image 1,1000000307,
3.68784e+07,,Track,2,Image 1,1000000330,
7.50828e+07,,Track,2,Image 1,1000000371,
3.30317e+07,,Track,2,Image 1,1000000372,
7.49425e+07,,Track,2,Image 1,1000000401,
5.87594e+07,,Track,2,Image 1,1000000456,
4.244e+07,,Track,2,Image 1,1000000469,
2.91919e+07,,Track,2,Image 1,1000000496,
