
Track Intensity StdDev Ch=3 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
12.6384,,Track,3,Image 1,1000000051,
18.2246,,Track,3,Image 1,1000000094,
32.8983,,Track,3,Image 1,1000000192,
12.7607,,Track,3,Image 1,1000000195,
35.5026,,Track,3,Image 1,1000000198,
12.5025,,Track,3,Image 1,1000000261,
16.4126,,Track,3,Image 1,1000000277,
13.0393,,Track,3,Image 1,1000000292,
14.431,,Track,3,Image 1,1000000307,
13.5943,,Track,3,Image 1,1000000330,
12.7776,,Track,3,Image 1,1000000371,
53.6086,,Track,3,Image 1,1000000372,
12.2002,,Track,3,Image 1,1000000401,
11.4802,,Track,3,Image 1,1000000456,
12.0867,,Track,3,Image 1,1000000469,
9.9061,,Track,3,Image 1,1000000496,
