
Track Intensity Min Ch=2 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
200,,Track,2,Image 1,1000000051,
180,,Track,2,Image 1,1000000094,
0,,Track,2,Image 1,1000000192,
194,,Track,2,Image 1,1000000195,
0,,Track,2,Image 1,1000000198,
180,,Track,2,Image 1,1000000261,
258,,Track,2,Image 1,1000000277,
198,,Track,2,Image 1,1000000292,
214,,Track,2,Image 1,1000000307,
188,,Track,2,Image 1,1000000330,
192,,Track,2,Image 1,1000000371,
0,,Track,2,Image 1,1000000372,
182,,Track,2,Image 1,1000000401,
194,,Track,2,Image 1,1000000456,
196,,Track,2,Image 1,1000000469,
190,,Track,2,Image 1,1000000496,
