
Track Intensity StdDev Ch=2 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
26.9847,,Track,2,Image 1,1000000051,
29.181,,Track,2,Image 1,1000000094,
66.8127,,Track,2,Image 1,1000000192,
27.69,,Track,2,Image 1,1000000195,
56.5459,,Track,2,Image 1,1000000198,
36.1762,,Track,2,Image 1,1000000261,
95.1324,,Track,2,Image 1,1000000277,
28.1068,,Track,2,Image 1,1000000292,
63.4629,,Track,2,Image 1,1000000307,
39.6607,,Track,2,Image 1,1000000330,
43.2095,,Track,2,Image 1,1000000371,
41.845,,Track,2,Image 1,1000000372,
35.639,,Track,2,Image 1,1000000401,
28.8096,,Track,2,Image 1,1000000456,
23.5428,,Track,2,Image 1,1000000469,
21.7653,,Track,2,Image 1,1000000496,
