
Track Intensity Mean Ch=3 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
225.38,,Track,3,Image 1,1000000051,
230.211,,Track,3,Image 1,1000000094,
234.659,,Track,3,Image 1,1000000192,
225.961,,Track,3,Image 1,1000000195,
231.216,,Track,3,Image 1,1000000198,
225.114,,Track,3,Image 1,1000000261,
238.872,,Track,3,Image 1,1000000277,
226.208,,Track,3,Image 1,1000000292,
229.26,,Track,3,Image 1,1000000307,
228.506,,Track,3,Image 1,1000000330,
225.227,,Track,3,Image 1,1000000371,
213.354,,Track,3,Image 1,1000000372,
225.746,,Track,3,Image 1,1000000401,
223.634,,Track,3,Image 1,1000000456,
224.734,,Track,3,Image 1,1000000469,
220.84,,Track,3,Image 1,1000000496,
