
Track Intensity Max Ch=2 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
496,,Track,2,Image 1,1000000051,
442,,Track,2,Image 1,1000000094,
664,,Track,2,Image 1,1000000192,
530,,Track,2,Image 1,1000000195,
560,,Track,2,Image 1,1000000198,
504,,Track,2,Image 1,1000000261,
940,,Track,2,Image 1,1000000277,
530,,Track,2,Image 1,1000000292,
748,,Track,2,Image 1,1000000307,
520,,Track,2,Image 1,1000000330,
580,,Track,2,Image 1,1000000371,
462,,Track,2,Image 1,1000000372,
570,,Track,2,Image 1,1000000401,
482,,Track,2,Image 1,1000000456,
444,,Track,2,Image 1,1000000469,
402,,Track,2,Image 1,1000000496,
