
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
200.012,,Spot,1,Image 1,105,1000000261,274,
199.984,,Spot,1,Image 1,106,1000000261,275,
203.984,,Spot,1,Image 1,107,1000000261,276,
204.012,,Spot,1,Image 1,111,1000000277,277,
210.032,,Spot,1,Image 1,112,1000000277,278,
207.976,,Spot,1,Image 1,113,1000000277,279,
207.976,,Spot,1,Image 1,114,1000000277,280,
210.04,,Spot,1,Image 1,115,1000000277,281,
207.976,,Spot,1,Image 1,116,1000000277,282,
205.992,,Spot,1,Image 1,117,1000000277,283,
210.02,,Spot,1,Image 1,118,1000000277,284,
210,,Spot,1,Image 1,119,1000000277,285,
211.936,,Spot,1,Image 1,120,1000000277,286,
220.06,,Spot,1,Image 1,121,1000000277,287,
217.968,,Spot,1,Image 1,122,1000000277,288,
214.016,,Spot,1,Image 1,123,1000000277,289,
211.968,,Spot,1,Image 1,124,1000000277,290,
216.048,,Spot,1,Image 1,125,1000000277,291,
198.04,,Spot,1,Image 1,126,1000000292,292,
200.04,,Spot,1,Image 1,127,1000000292,293,
198.04,,Spot,1,Image 1,128,1000000292,294,
205.984,,Spot,1,Image 1,129,1000000292,295,
202.04,,Spot,1,Image 1,130,1000000292,296,
207.992,,Spot,1,Image 1,131,1000000292,297,
208.08,,Spot,1,Image 1,132,1000000292,298,
205.968,,Spot,1,Image 1,133,1000000292,299,
212.04,,Spot,1,Image 1,134,1000000292,300,
206.04,,Spot,1,Image 1,135,1000000292,301,
208.016,,Spot,1,Image 1,136,1000000292,302,
210.012,,Spot,1,Image 1,137,1000000292,303,
206,,Spot,1,Image 1,138,1000000292,304,
210.004,,Spot,1,Image 1,139,1000000292,305,
206,,Spot,1,Image 1,140,1000000292,306,
200.024,,Spot,1,Image 1,140,1000000307,307,
207.968,,Spot,1,Image 1,141,1000000292,308,
204,,Spot,1,Image 1,141,1000000307,309,
204,,Spot,1,Image 1,142,1000000292,310,
205.952,,Spot,1,Image 1,142,1000000307,311,
206,,Spot,1,Image 1,143,1000000292,312,
206.048,,Spot,1,Image 1,143,1000000307,313,
202.048,,Spot,1,Image 1,144,1000000292,314,
204,,Spot,1,Image 1,144,1000000307,315,
201.968,,Spot,1,Image 1,145,1000000292,316,
212.08,,Spot,1,Image 1,145,1000000307,317,
204.04,,Spot,1,Image 1,146,1000000292,318,
212.08,,Spot,1,Image 1,146,1000000307,319,
202.02,,Spot,1,Image 1,147,1000000292,320,
209.936,,Spot,1,Image 1,147,1000000307,321,
208.032,,Spot,1,Image 1,148,1000000292,322,
212.044,,Spot,1,Image 1,148,1000000307,323,
207.968,,Spot,1,Image 1,149,1000000292,324,
213.96,,Spot,1,Image 1,149,1000000307,325,
208.04,,Spot,1,Image 1,150,1000000292,326,
214,,Spot,1,Image 1,150,1000000307,327,
206,,Spot,1,Image 1,151,1000000292,328,
210.04,,Spot,1,Image 1,151,1000000307,329,
197.992,,Spot,1,Image 1,151,1000000330,330,
200,,Spot,1,Image 1,152,1000000330,331,
200.032,,Spot,1,Image 1,153,1000000330,332,
204.02,,Spot,1,Image 1,154,1000000330,333,
203.968,,Spot,1,Image 1,155,1000000330,334,
202,,Spot,1,Image 1,156,1000000330,335,
206.048,,Spot,1,Image 1,157,1000000330,336,
205.988,,Spot,1,Image 1,158,1000000330,337,
