
Track Intensity Min Ch=1 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
204,,Track,1,Image 1,1000000128,
234,,Track,1,Image 1,1000000202,
0,,Track,1,Image 1,1000000806,
336,,Track,1,Image 1,1000001003,
318,,Track,1,Image 1,1000001011,
338,,Track,1,Image 1,1000001030,
288,,Track,1,Image 1,1000001092,
286,,Track,1,Image 1,1000001192,
336,,Track,1,Image 1,1000001217,
366,,Track,1,Image 1,1000001248,
