
Track Intensity Sum Ch=1 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
3.43584e+08,,Track,1,Image 1,1000000128,
3.32491e+08,,Track,1,Image 1,1000000202,
3.26119e+08,,Track,1,Image 1,1000000806,
7.77984e+07,,Track,1,Image 1,1000001003,
1.46115e+08,,Track,1,Image 1,1000001011,
3.90099e+08,,Track,1,Image 1,1000001030,
2.06563e+08,,Track,1,Image 1,1000001092,
1.77156e+08,,Track,1,Image 1,1000001192,
1.12797e+08,,Track,1,Image 1,1000001217,
1.80429e+08,,Track,1,Image 1,1000001248,
