
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
55,,Spot,185,1000000806,971,
68,,Spot,186,1000000128,972,
56,,Spot,186,1000000806,973,
62,,Spot,186,1000000202,974,
69,,Spot,187,1000000128,975,
57,,Spot,187,1000000806,976,
63,,Spot,187,1000000202,977,
70,,Spot,188,1000000128,978,
58,,Spot,188,1000000806,979,
64,,Spot,188,1000000202,980,
71,,Spot,189,1000000128,981,
59,,Spot,189,1000000806,982,
65,,Spot,189,1000000202,983,
72,,Spot,190,1000000128,984,
60,,Spot,190,1000000806,985,
66,,Spot,190,1000000202,986,
73,,Spot,191,1000000128,987,
61,,Spot,191,1000000806,988,
67,,Spot,191,1000000202,989,
74,,Spot,192,1000000128,990,
62,,Spot,192,1000000806,991,
68,,Spot,192,1000000202,992,
63,,Spot,193,1000000806,993,
69,,Spot,193,1000000202,994,
64,,Spot,194,1000000806,995,
70,,Spot,194,1000000202,996,
65,,Spot,195,1000000806,997,
71,,Spot,195,1000000202,998,
66,,Spot,196,1000000806,999,
67,,Spot,197,1000000806,1000,
68,,Spot,198,1000000806,1001,
69,,Spot,199,1000000806,1002,
0,,Spot,206,1000001003,1003,
1,,Spot,207,1000001003,1004,
2,,Spot,208,1000001003,1005,
3,,Spot,209,1000001003,1006,
4,,Spot,210,1000001003,1007,
5,,Spot,211,1000001003,1008,
6,,Spot,212,1000001003,1009,
7,,Spot,213,1000001003,1010,
0,,Spot,213,1000001011,1011,
8,,Spot,214,1000001003,1012,
1,,Spot,214,1000001011,1013,
9,,Spot,215,1000001003,1014,
2,,Spot,215,1000001011,1015,
10,,Spot,216,1000001003,1016,
3,,Spot,216,1000001011,1017,
11,,Spot,217,1000001003,1018,
4,,Spot,217,1000001011,1019,
12,,Spot,218,1000001003,1020,
5,,Spot,218,1000001011,1021,
13,,Spot,219,1000001003,1022,
6,,Spot,219,1000001011,1023,
14,,Spot,220,1000001003,1024,
7,,Spot,220,1000001011,1025,
15,,Spot,221,1000001003,1026,
8,,Spot,221,1000001011,1027,
16,,Spot,222,1000001003,1028,
9,,Spot,222,1000001011,1029,
0,,Spot,222,1000001030,1030,
17,,Spot,223,1000001003,1031,
10,,Spot,223,1000001011,1032,
1,,Spot,223,1000001030,1033,
18,,Spot,224,1000001003,1034,
11,,Spot,224,1000001011,1035,
2,,Spot,224,1000001030,1036,
12,,Spot,225,1000001011,1037,
3,,Spot,225,1000001030,1038,
13,,Spot,226,1000001011,1039,
4,,Spot,226,1000001030,1040,
14,,Spot,227,1000001011,1041,
5,,Spot,227,1000001030,1042,
15,,Spot,228,1000001011,1043,
6,,Spot,228,1000001030,1044,
16,,Spot,229,1000001011,1045,
7,,Spot,229,1000001030,1046,
17,,Spot,230,1000001011,1047,
8,,Spot,230,1000001030,1048,
18,,Spot,231,1000001011,1049,
9,,Spot,231,1000001030,1050,
19,,Spot,232,1000001011,1051,
10,,Spot,232,1000001030,1052,
20,,Spot,233,1000001011,1053,
11,,Spot,233,1000001030,1054,
21,,Spot,234,1000001011,1055,
