
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
1464,,Track,1,Image 1,1000000128,
1410,,Track,1,Image 1,1000000202,
1550,,Track,1,Image 1,1000000806,
1366,,Track,1,Image 1,1000001003,
1546,,Track,1,Image 1,1000001011,
1392,,Track,1,Image 1,1000001030,
1464,,Track,1,Image 1,1000001092,
2032,,Track,1,Image 1,1000001192,
1234,,Track,1,Image 1,1000001217,
1832,,Track,1,Image 1,1000001248,
