
Track Intensity Center Mean Ch=2 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
213.84,,Track,2,Image 1,1000000128,
218.889,,Track,2,Image 1,1000000202,
216.971,,Track,2,Image 1,1000000806,
223.368,,Track,2,Image 1,1000001003,
220.788,,Track,2,Image 1,1000001011,
222.952,,Track,2,Image 1,1000001030,
219.925,,Track,2,Image 1,1000001092,
220.412,,Track,2,Image 1,1000001192,
216,,Track,2,Image 1,1000001217,
220.824,,Track,2,Image 1,1000001248,
