
Displacement Delta X
 ==================== 
Displacement Delta X,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,38,1000101212,101212,
4.94722,µm,Spot,Displacement Delta,39,1000101212,101213,
0.929998,µm,Spot,Displacement Delta,40,1000101212,101214,
0.372002,µm,Spot,Displacement Delta,41,1000101212,101215,
0.185999,µm,Spot,Displacement Delta,42,1000101212,101216,
0.0930004,µm,Spot,Displacement Delta,43,1000101212,101217,
0.186001,µm,Spot,Displacement Delta,44,1000101212,101218,
0.743999,µm,Spot,Displacement Delta,45,1000101212,101219,
-0.0930004,µm,Spot,Displacement Delta,46,1000101212,101220,
0,µm,Spot,Displacement Delta,76,1000101221,101221,
1.23851,µm,Spot,Displacement Delta,77,1000101221,101222,
1.25954,µm,Spot,Displacement Delta,78,1000101221,101223,
1.01111,µm,Spot,Displacement Delta,79,1000101221,101224,
0,µm,Spot,Displacement Delta,81,1000101225,101225,
0.185997,µm,Spot,Displacement Delta,82,1000101225,101226,
0.0930023,µm,Spot,Displacement Delta,83,1000101225,101227,
0,µm,Spot,Displacement Delta,289,1000101229,101229,
-0.272633,µm,Spot,Displacement Delta,290,1000101229,101230,
0.0273895,µm,Spot,Displacement Delta,291,1000101229,101231,
-0.379436,µm,Spot,Displacement Delta,292,1000101229,101232,
-0.0451825,µm,Spot,Displacement Delta,293,1000101229,101233,
0,µm,Spot,Displacement Delta,313,1000101234,101234,
0.136368,µm,Spot,Displacement Delta,314,1000101234,101235,
-0.174631,µm,Spot,Displacement Delta,315,1000101234,101236,
0.134903,µm,Spot,Displacement Delta,316,1000101234,101237,
0.392398,µm,Spot,Displacement Delta,317,1000101234,101238,
0.0991068,µm,Spot,Displacement Delta,318,1000101234,101239,
0,µm,Spot,Displacement Delta,15,1000101240,101240,
0.725676,µm,Spot,Displacement Delta,16,1000101240,101241,
0.715712,µm,Spot,Displacement Delta,17,1000101240,101242,
0.433193,µm,Spot,Displacement Delta,18,1000101240,101243,
0,µm,Spot,Displacement Delta,104,1000101244,101244,
0.837002,µm,Spot,Displacement Delta,105,1000101244,101245,
0.651001,µm,Spot,Displacement Delta,106,1000101244,101246,
0,µm,Spot,Displacement Delta,23,1000101247,101247,
0.369716,µm,Spot,Displacement Delta,24,1000101247,101248,
0.141809,µm,Spot,Displacement Delta,25,1000101247,101249,
-0.1314,µm,Spot,Displacement Delta,19,1000101250,101250,
0.539854,µm,Spot,Displacement Delta,20,1000101250,101251,
-0.408454,µm,Spot,Displacement Delta,18,1000101250,101253,
