
Velocity Angle X
 ==================== 
Velocity Angle X,Unit,Category,Collection,Time,TrackID,ID,
36.5495,°,Spot,Velocity Angle,38,1000101212,101212,
38.0403,°,Spot,Velocity Angle,39,1000101212,101213,
17.5313,°,Spot,Velocity Angle,40,1000101212,101214,
80.5246,°,Spot,Velocity Angle,41,1000101212,101215,
84.135,°,Spot,Velocity Angle,42,1000101212,101216,
69.5039,°,Spot,Velocity Angle,43,1000101212,101217,
13.0704,°,Spot,Velocity Angle,44,1000101212,101218,
41.736,°,Spot,Velocity Angle,45,1000101212,101219,
96.0279,°,Spot,Velocity Angle,46,1000101212,101220,
51.4235,°,Spot,Velocity Angle,76,1000101221,101221,
23.0158,°,Spot,Velocity Angle,77,1000101221,101222,
36.3791,°,Spot,Velocity Angle,78,1000101221,101223,
29.5431,°,Spot,Velocity Angle,79,1000101221,101224,
55.3539,°,Spot,Velocity Angle,81,1000101225,101225,
22.9281,°,Spot,Velocity Angle,82,1000101225,101226,
67.6956,°,Spot,Velocity Angle,83,1000101225,101227,
112.137,°,Spot,Velocity Angle,289,1000101229,101229,
117.381,°,Spot,Velocity Angle,290,1000101229,101230,
126.565,°,Spot,Velocity Angle,291,1000101229,101231,
162.664,°,Spot,Velocity Angle,292,1000101229,101232,
96.4497,°,Spot,Velocity Angle,293,1000101229,101233,
57.0307,°,Spot,Velocity Angle,313,1000101234,101234,
93.3331,°,Spot,Velocity Angle,314,1000101234,101235,
94.2729,°,Spot,Velocity Angle,315,1000101234,101236,
38.1202,°,Spot,Velocity Angle,316,1000101234,101237,
68.7655,°,Spot,Velocity Angle,317,1000101234,101238,
84.8042,°,Spot,Velocity Angle,318,1000101234,101239,
63.6707,°,Spot,Velocity Angle,15,1000101240,101240,
4.7819,°,Spot,Velocity Angle,16,1000101240,101241,
51.2793,°,Spot,Velocity Angle,17,1000101240,101242,
54.797,°,Spot,Velocity Angle,18,1000101240,101243,
60.0017,°,Spot,Velocity Angle,104,1000101244,101244,
60.1453,°,Spot,Velocity Angle,105,1000101244,101245,
61.282,°,Spot,Velocity Angle,106,1000101244,101246,
71.5678,°,Spot,Velocity Angle,23,1000101247,101247,
68.7253,°,Spot,Velocity Angle,24,1000101247,101248,
69.127,°,Spot,Velocity Angle,25,1000101247,101249,
78.4621,°,Spot,Velocity Angle,19,1000101250,101250,
74.914,°,Spot,Velocity Angle,20,1000101250,101251,
156.613,°,Spot,Velocity Angle,18,1000101250,101253,
