
Displacement Delta Z
 ==================== 
Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,38,1000101212,101212,
-3.5273,µm,Spot,Displacement Delta,39,1000101212,101213,
-1.02713,µm,Spot,Displacement Delta,40,1000101212,101214,
0.833221,µm,Spot,Displacement Delta,41,1000101212,101215,
2.35858,µm,Spot,Displacement Delta,42,1000101212,101216,
0.284592,µm,Spot,Displacement Delta,43,1000101212,101217,
0.381927,µm,Spot,Displacement Delta,44,1000101212,101218,
-0.264008,µm,Spot,Displacement Delta,45,1000101212,101219,
0.84404,µm,Spot,Displacement Delta,46,1000101212,101220,
0,µm,Spot,Displacement Delta,76,1000101221,101221,
-0.443481,µm,Spot,Displacement Delta,77,1000101221,101222,
0.954483,µm,Spot,Displacement Delta,78,1000101221,101223,
0.435883,µm,Spot,Displacement Delta,79,1000101221,101224,
0,µm,Spot,Displacement Delta,81,1000101225,101225,
-0.230072,µm,Spot,Displacement Delta,82,1000101225,101226,
0.123413,µm,Spot,Displacement Delta,83,1000101225,101227,
0,µm,Spot,Displacement Delta,289,1000101229,101229,
-0.159592,µm,Spot,Displacement Delta,290,1000101229,101230,
0.249344,µm,Spot,Displacement Delta,291,1000101229,101231,
-0.153854,µm,Spot,Displacement Delta,292,1000101229,101232,
0.286438,µm,Spot,Displacement Delta,293,1000101229,101233,
0,µm,Spot,Displacement Delta,313,1000101234,101234,
-0.0979614,µm,Spot,Displacement Delta,314,1000101234,101235,
0.00537109,µm,Spot,Displacement Delta,315,1000101234,101236,
0.25325,µm,Spot,Displacement Delta,316,1000101234,101237,
0.149902,µm,Spot,Displacement Delta,317,1000101234,101238,
0.985138,µm,Spot,Displacement Delta,318,1000101234,101239,
0,µm,Spot,Displacement Delta,15,1000101240,101240,
-1.39059,µm,Spot,Displacement Delta,16,1000101240,101241,
1.27002,µm,Spot,Displacement Delta,17,1000101240,101242,
-0.263275,µm,Spot,Displacement Delta,18,1000101240,101243,
0,µm,Spot,Displacement Delta,104,1000101244,101244,
-1.44309,µm,Spot,Displacement Delta,105,1000101244,101245,
-1.05939,µm,Spot,Displacement Delta,106,1000101244,101246,
0,µm,Spot,Displacement Delta,23,1000101247,101247,
-1,µm,Spot,Displacement Delta,24,1000101247,101248,
0,µm,Spot,Displacement Delta,25,1000101247,101249,
0,µm,Spot,Displacement Delta,19,1000101250,101250,
-2,µm,Spot,Displacement Delta,20,1000101250,101251,
2,µm,Spot,Displacement Delta,18,1000101250,101253,
