
Track Number of Spots
 ==================== 
Track Number of Spots,Unit,Category,ID,
9,,Track,1000101212,
4,,Track,1000101221,
3,,Track,1000101225,
5,,Track,1000101229,
6,,Track,1000101234,
4,,Track,1000101240,
3,,Track,1000101244,
3,,Track,1000101247,
3,,Track,1000101250,
