
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
17.75,µm,Spot,Position,38,1000101212,101212,
14.2227,µm,Spot,Position,39,1000101212,101213,
13.1956,µm,Spot,Position,40,1000101212,101214,
14.0288,µm,Spot,Position,41,1000101212,101215,
16.3874,µm,Spot,Position,42,1000101212,101216,
16.672,µm,Spot,Position,43,1000101212,101217,
17.0539,µm,Spot,Position,44,1000101212,101218,
16.7899,µm,Spot,Position,45,1000101212,101219,
17.6339,µm,Spot,Position,46,1000101212,101220,
24.5232,µm,Spot,Position,76,1000101221,101221,
24.0797,µm,Spot,Position,77,1000101221,101222,
25.0342,µm,Spot,Position,78,1000101221,101223,
25.4701,µm,Spot,Position,79,1000101221,101224,
25.5871,µm,Spot,Position,81,1000101225,101225,
25.357,µm,Spot,Position,82,1000101225,101226,
25.4804,µm,Spot,Position,83,1000101225,101227,
31.7757,µm,Spot,Position,289,1000101229,101229,
31.6161,µm,Spot,Position,290,1000101229,101230,
31.8655,µm,Spot,Position,291,1000101229,101231,
31.7116,µm,Spot,Position,292,1000101229,101232,
31.9981,µm,Spot,Position,293,1000101229,101233,
35.9757,µm,Spot,Position,313,1000101234,101234,
35.8777,µm,Spot,Position,314,1000101234,101235,
35.8831,µm,Spot,Position,315,1000101234,101236,
36.1363,µm,Spot,Position,316,1000101234,101237,
36.2862,µm,Spot,Position,317,1000101234,101238,
37.2714,µm,Spot,Position,318,1000101234,101239,
20.4944,µm,Spot,Position,15,1000101240,101240,
19.1038,µm,Spot,Position,16,1000101240,101241,
20.3738,µm,Spot,Position,17,1000101240,101242,
20.1105,µm,Spot,Position,18,1000101240,101243,
40.4457,µm,Spot,Position,104,1000101244,101244,
39.0026,µm,Spot,Position,105,1000101244,101245,
37.9432,µm,Spot,Position,106,1000101244,101246,
23.75,µm,Spot,Position,23,1000101247,101247,
22.75,µm,Spot,Position,24,1000101247,101248,
22.75,µm,Spot,Position,25,1000101247,101249,
18.75,µm,Spot,Position,19,1000101250,101250,
16.75,µm,Spot,Position,20,1000101250,101251,
18.75,µm,Spot,Position,18,1000101250,101253,
