
Velocity Angle Y
 ==================== 
Velocity Angle Y,Unit,Category,Collection,Time,TrackID,ID,
99.3801,°,Spot,Velocity Angle,38,1000101212,101212,
94.872,°,Spot,Velocity Angle,39,1000101212,101213,
74.5972,°,Spot,Velocity Angle,40,1000101212,101214,
72.9784,°,Spot,Velocity Angle,41,1000101212,101215,
76.8731,°,Spot,Velocity Angle,42,1000101212,101216,
114.925,°,Spot,Velocity Angle,43,1000101212,101217,
100.923,°,Spot,Velocity Angle,44,1000101212,101218,
88.1362,°,Spot,Velocity Angle,45,1000101212,101219,
73.412,°,Spot,Velocity Angle,46,1000101212,101220,
138.525,°,Spot,Velocity Angle,76,1000101221,101221,
110.042,°,Spot,Velocity Angle,77,1000101221,101222,
70.7481,°,Spot,Velocity Angle,78,1000101221,101223,
71.3343,°,Spot,Velocity Angle,79,1000101221,101224,
115.272,°,Spot,Velocity Angle,81,1000101225,101225,
80.4056,°,Spot,Velocity Angle,82,1000101225,101226,
39.101,°,Spot,Velocity Angle,83,1000101225,101227,
25.8865,°,Spot,Velocity Angle,289,1000101229,101229,
29.32,°,Spot,Velocity Angle,290,1000101229,101230,
141.892,°,Spot,Velocity Angle,291,1000101229,101231,
90.0027,°,Spot,Velocity Angle,292,1000101229,101232,
46.1068,°,Spot,Velocity Angle,293,1000101229,101233,
137.931,°,Spot,Velocity Angle,313,1000101234,101234,
171.256,°,Spot,Velocity Angle,314,1000101234,101235,
150.638,°,Spot,Velocity Angle,315,1000101234,101236,
82.0266,°,Spot,Velocity Angle,316,1000101234,101237,
65.7203,°,Spot,Velocity Angle,317,1000101234,101238,
64.8451,°,Spot,Velocity Angle,318,1000101234,101239,
73.4896,°,Spot,Velocity Angle,15,1000101240,101240,
90.0027,°,Spot,Velocity Angle,16,1000101240,101241,
123.727,°,Spot,Velocity Angle,17,1000101240,101242,
137.58,°,Spot,Velocity Angle,18,1000101240,101243,
85.2564,°,Spot,Velocity Angle,104,1000101244,101244,
76.9238,°,Spot,Velocity Angle,105,1000101244,101245,
66.6107,°,Spot,Velocity Angle,106,1000101244,101246,
114.237,°,Spot,Velocity Angle,23,1000101247,101247,
127.177,°,Spot,Velocity Angle,24,1000101247,101248,
159.13,°,Spot,Velocity Angle,25,1000101247,101249,
91.1702,°,Spot,Velocity Angle,19,1000101250,101250,
92.7233,°,Spot,Velocity Angle,20,1000101250,101251,
66.6104,°,Spot,Velocity Angle,18,1000101250,101253,
