
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
124.948,°,Spot,Velocity Angle,38,1000101212,101212,
127.617,°,Spot,Velocity Angle,39,1000101212,101213,
98.1673,°,Spot,Velocity Angle,40,1000101212,101214,
19.6278,°,Spot,Velocity Angle,41,1000101212,101215,
14.4242,°,Spot,Velocity Angle,42,1000101212,101216,
33.2229,°,Spot,Velocity Angle,43,1000101212,101217,
82.9077,°,Spot,Velocity Angle,44,1000101212,101218,
48.3278,°,Spot,Velocity Angle,45,1000101212,101219,
17.7109,°,Spot,Velocity Angle,46,1000101212,101220,
102.905,°,Spot,Velocity Angle,76,1000101221,101221,
79.1501,°,Spot,Velocity Angle,77,1000101221,101222,
60.4644,°,Spot,Velocity Angle,78,1000101221,101223,
67.9747,°,Spot,Velocity Angle,79,1000101221,101224,
134.692,°,Spot,Velocity Angle,81,1000101225,101225,
110.618,°,Spot,Velocity Angle,82,1000101225,101226,
59.7586,°,Spot,Velocity Angle,83,1000101225,101227,
102.744,°,Spot,Velocity Angle,289,1000101229,101229,
80.3139,°,Spot,Velocity Angle,290,1000101229,101230,
80.7042,°,Spot,Velocity Angle,291,1000101229,101231,
72.6616,°,Spot,Velocity Angle,292,1000101229,101232,
44.6184,°,Spot,Velocity Angle,293,1000101229,101233,
113.017,°,Spot,Velocity Angle,313,1000101234,101234,
98.0839,°,Spot,Velocity Angle,314,1000101234,101235,
61.0085,°,Spot,Velocity Angle,315,1000101234,101236,
53.0241,°,Spot,Velocity Angle,316,1000101234,101237,
33.231,°,Spot,Velocity Angle,317,1000101234,101238,
25.7635,°,Spot,Velocity Angle,318,1000101234,101239,
148.214,°,Spot,Velocity Angle,15,1000101240,101240,
94.7846,°,Spot,Velocity Angle,16,1000101240,101241,
56.7619,°,Spot,Velocity Angle,17,1000101240,101242,
110.513,°,Spot,Velocity Angle,18,1000101240,101243,
149.553,°,Spot,Velocity Angle,104,1000101244,101244,
146.854,°,Spot,Velocity Angle,105,1000101244,101245,
141.446,°,Spot,Velocity Angle,106,1000101244,101246,
148.797,°,Spot,Velocity Angle,23,1000101247,101247,
135.19,°,Spot,Velocity Angle,24,1000101247,101248,
90.0027,°,Spot,Velocity Angle,25,1000101247,101249,
168.404,°,Spot,Velocity Angle,19,1000101250,101250,
164.662,°,Spot,Velocity Angle,20,1000101250,101251,
90.0027,°,Spot,Velocity Angle,18,1000101250,101253,
