
Position Y
 ==================== 
Position Y,Unit,Category,Collection,Time,TrackID,ID,
34.9074,µm,Spot,Position,38,1000101212,101212,
33.904,µm,Spot,Position,39,1000101212,101213,
34.274,µm,Spot,Position,40,1000101212,101214,
34.2667,µm,Spot,Position,41,1000101212,101215,
35.2661,µm,Spot,Position,42,1000101212,101216,
34.8866,µm,Spot,Position,43,1000101212,101217,
34.9303,µm,Spot,Position,44,1000101212,101218,
34.7058,µm,Spot,Position,45,1000101212,101219,
34.9587,µm,Spot,Position,46,1000101212,101220,
11.3925,µm,Spot,Position,76,1000101221,101221,
9.9045,µm,Spot,Position,77,1000101221,101222,
10.4625,µm,Spot,Position,78,1000101221,101223,
10.8345,µm,Spot,Position,79,1000101221,101224,
30.169,µm,Spot,Position,81,1000101225,101225,
30.0294,µm,Spot,Position,82,1000101225,101226,
30.2195,µm,Spot,Position,83,1000101225,101227,
11.6715,µm,Spot,Position,289,1000101229,101229,
12.3225,µm,Spot,Position,290,1000101229,101230,
12.1365,µm,Spot,Position,291,1000101229,101231,
11.8575,µm,Spot,Position,292,1000101229,101232,
12.1365,µm,Spot,Position,293,1000101229,101233,
20.5065,µm,Spot,Position,313,1000101234,101234,
20.3205,µm,Spot,Position,314,1000101234,101235,
19.8555,µm,Spot,Position,315,1000101234,101236,
19.8555,µm,Spot,Position,316,1000101234,101237,
19.9485,µm,Spot,Position,317,1000101234,101238,
20.4135,µm,Spot,Position,318,1000101234,101239,
31.7595,µm,Spot,Position,15,1000101240,101240,
32.2245,µm,Spot,Position,16,1000101240,101241,
31.7595,µm,Spot,Position,17,1000101240,101242,
31.2048,µm,Spot,Position,18,1000101240,101243,
43.2957,µm,Spot,Position,104,1000101244,101244,
43.4342,µm,Spot,Position,105,1000101244,101245,
43.9721,µm,Spot,Position,106,1000101244,101246,
23.0962,µm,Spot,Position,23,1000101247,101247,
22.6163,µm,Spot,Position,24,1000101247,101248,
22.2445,µm,Spot,Position,25,1000101247,101249,
32.2966,µm,Spot,Position,19,1000101250,101250,
32.1982,µm,Spot,Position,20,1000101250,101251,
32.2398,µm,Spot,Position,18,1000101250,101253,
