
Average Distance To 5 Nearest Neighbours
 ==================== 
Average Distance To 5 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
0,µm,Spot,18,1000101240,101243,
0,µm,Spot,18,1000101250,101253,
