
Diameter Z
 ==================== 
Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
4,µm,Spot,Diameter,8,1000188973,188973,
4,µm,Spot,Diameter,9,1000188973,188974,
4,µm,Spot,Diameter,10,1000188973,188975,
4,µm,Spot,Diameter,11,1000188973,188976,
4,µm,Spot,Diameter,12,1000188973,188977,
4,µm,Spot,Diameter,13,1000188973,188978,
4,µm,Spot,Diameter,14,1000188973,188979,
4,µm,Spot,Diameter,15,1000188973,188980,
4,µm,Spot,Diameter,46,1000188985,188985,
4,µm,Spot,Diameter,47,1000188985,188986,
4,µm,Spot,Diameter,48,1000188985,188987,
4,µm,Spot,Diameter,49,1000188985,188988,
4,µm,Spot,Diameter,50,1000188985,188989,
4,µm,Spot,Diameter,51,1000188985,188990,
4,µm,Spot,Diameter,52,1000188985,188991,
4,µm,Spot,Diameter,76,1000188994,188994,
4,µm,Spot,Diameter,77,1000188994,188995,
4,µm,Spot,Diameter,78,1000188994,188996,
4,µm,Spot,Diameter,79,1000188994,188997,
4,µm,Spot,Diameter,158,1000189006,189006,
4,µm,Spot,Diameter,159,1000189006,189007,
4,µm,Spot,Diameter,160,1000189006,189008,
4,µm,Spot,Diameter,195,1000189009,189009,
4,µm,Spot,Diameter,196,1000189009,189010,
4,µm,Spot,Diameter,197,1000189009,189011,
4,µm,Spot,Diameter,198,1000189009,189012,
4,µm,Spot,Diameter,248,1000189013,189013,
4,µm,Spot,Diameter,249,1000189013,189014,
4,µm,Spot,Diameter,250,1000189013,189015,
4,µm,Spot,Diameter,251,1000189013,189016,
4,µm,Spot,Diameter,252,1000189013,189017,
4,µm,Spot,Diameter,270,1000189020,189020,
4,µm,Spot,Diameter,271,1000189020,189021,
4,µm,Spot,Diameter,272,1000189020,189022,
4,µm,Spot,Diameter,63,1000189023,189023,
4,µm,Spot,Diameter,64,1000189023,189024,
4,µm,Spot,Diameter,65,1000189023,189025,
4,µm,Spot,Diameter,177,1000189026,189026,
4,µm,Spot,Diameter,178,1000189026,189027,
4,µm,Spot,Diameter,179,1000189026,189028,
4,µm,Spot,Diameter,180,1000189026,189029,
4,µm,Spot,Diameter,327,1000189030,189030,
4,µm,Spot,Diameter,328,1000189030,189031,
4,µm,Spot,Diameter,329,1000189030,189032,
4,µm,Spot,Diameter,330,1000189030,189033,
4,µm,Spot,Diameter,347,1000189035,189035,
4,µm,Spot,Diameter,348,1000189035,189036,
4,µm,Spot,Diameter,349,1000189035,189037,
4,µm,Spot,Diameter,346,1000189035,189038,
