
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,TrackID,ID,
72.1441,µm,Spot,Position,8,1000188973,188973,
72.8747,µm,Spot,Position,9,1000188973,188974,
72.8747,µm,Spot,Position,10,1000188973,188975,
72.8747,µm,Spot,Position,11,1000188973,188976,
72.8747,µm,Spot,Position,12,1000188973,188977,
72.8747,µm,Spot,Position,13,1000188973,188978,
72.9935,µm,Spot,Position,14,1000188973,188979,
72.659,µm,Spot,Position,15,1000188973,188980,
37.9374,µm,Spot,Position,46,1000188985,188985,
38.336,µm,Spot,Position,47,1000188985,188986,
38.3944,µm,Spot,Position,48,1000188985,188987,
38.6408,µm,Spot,Position,49,1000188985,188988,
38.7451,µm,Spot,Position,50,1000188985,188989,
38.7521,µm,Spot,Position,51,1000188985,188990,
38.4088,µm,Spot,Position,52,1000188985,188991,
49.431,µm,Spot,Position,76,1000188994,188994,
49.9948,µm,Spot,Position,77,1000188994,188995,
49.7226,µm,Spot,Position,78,1000188994,188996,
50.1117,µm,Spot,Position,79,1000188994,188997,
37.574,µm,Spot,Position,158,1000189006,189006,
37.3873,µm,Spot,Position,159,1000189006,189007,
37.2805,µm,Spot,Position,160,1000189006,189008,
61.4846,µm,Spot,Position,195,1000189009,189009,
61.5943,µm,Spot,Position,196,1000189009,189010,
61.4805,µm,Spot,Position,197,1000189009,189011,
62.0468,µm,Spot,Position,198,1000189009,189012,
40.2934,µm,Spot,Position,248,1000189013,189013,
40.2172,µm,Spot,Position,249,1000189013,189014,
40.3416,µm,Spot,Position,250,1000189013,189015,
40.6299,µm,Spot,Position,251,1000189013,189016,
39.8723,µm,Spot,Position,252,1000189013,189017,
46.7704,µm,Spot,Position,270,1000189020,189020,
46.4825,µm,Spot,Position,271,1000189020,189021,
46.356,µm,Spot,Position,272,1000189020,189022,
42.9024,µm,Spot,Position,63,1000189023,189023,
43.0114,µm,Spot,Position,64,1000189023,189024,
43.0386,µm,Spot,Position,65,1000189023,189025,
38.863,µm,Spot,Position,177,1000189026,189026,
38.8748,µm,Spot,Position,178,1000189026,189027,
39.1159,µm,Spot,Position,179,1000189026,189028,
39.6325,µm,Spot,Position,180,1000189026,189029,
43.9105,µm,Spot,Position,327,1000189030,189030,
43.8594,µm,Spot,Position,328,1000189030,189031,
43.8383,µm,Spot,Position,329,1000189030,189032,
43.4188,µm,Spot,Position,330,1000189030,189033,
40.3535,µm,Spot,Position,347,1000189035,189035,
40.851,µm,Spot,Position,348,1000189035,189036,
40.6918,µm,Spot,Position,349,1000189035,189037,
39.9715,µm,Spot,Position,346,1000189035,189038,
