
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
31.1498,µm,Spot,Position,8,1000188973,188973,
29.761,µm,Spot,Position,9,1000188973,188974,
30.8675,µm,Spot,Position,10,1000188973,188975,
32.212,µm,Spot,Position,11,1000188973,188976,
32.4443,µm,Spot,Position,12,1000188973,188977,
33.1643,µm,Spot,Position,13,1000188973,188978,
32.2162,µm,Spot,Position,14,1000188973,188979,
32.2162,µm,Spot,Position,15,1000188973,188980,
19.7805,µm,Spot,Position,46,1000188985,188985,
19.9586,µm,Spot,Position,47,1000188985,188986,
19.5112,µm,Spot,Position,48,1000188985,188987,
19.7846,µm,Spot,Position,49,1000188985,188988,
19.0608,µm,Spot,Position,50,1000188985,188989,
18.1866,µm,Spot,Position,51,1000188985,188990,
18.4452,µm,Spot,Position,52,1000188985,188991,
27.9562,µm,Spot,Position,76,1000188994,188994,
31.1512,µm,Spot,Position,77,1000188994,188995,
27.9562,µm,Spot,Position,78,1000188994,188996,
30.0862,µm,Spot,Position,79,1000188994,188997,
42.4142,µm,Spot,Position,158,1000189006,189006,
42.1817,µm,Spot,Position,159,1000189006,189007,
42.1881,µm,Spot,Position,160,1000189006,189008,
28.2527,µm,Spot,Position,195,1000189009,189009,
29.105,µm,Spot,Position,196,1000189009,189010,
29.9765,µm,Spot,Position,197,1000189009,189011,
29.9956,µm,Spot,Position,198,1000189009,189012,
24.7612,µm,Spot,Position,248,1000189013,189013,
23.6962,µm,Spot,Position,249,1000189013,189014,
24.2287,µm,Spot,Position,250,1000189013,189015,
23.6962,µm,Spot,Position,251,1000189013,189016,
23.1637,µm,Spot,Position,252,1000189013,189017,
30.3916,µm,Spot,Position,270,1000189020,189020,
30.0211,µm,Spot,Position,271,1000189020,189021,
30.0651,µm,Spot,Position,272,1000189020,189022,
28.4887,µm,Spot,Position,63,1000189023,189023,
28.4887,µm,Spot,Position,64,1000189023,189024,
27.9562,µm,Spot,Position,65,1000189023,189025,
31.9053,µm,Spot,Position,177,1000189026,189026,
31.3545,µm,Spot,Position,178,1000189026,189027,
31.8262,µm,Spot,Position,179,1000189026,189028,
34.1111,µm,Spot,Position,180,1000189026,189029,
18.9037,µm,Spot,Position,327,1000189030,189030,
19.4362,µm,Spot,Position,328,1000189030,189031,
17.3062,µm,Spot,Position,329,1000189030,189032,
20.5012,µm,Spot,Position,330,1000189030,189033,
20.6098,µm,Spot,Position,347,1000189035,189035,
20.9252,µm,Spot,Position,348,1000189035,189036,
20.4439,µm,Spot,Position,349,1000189035,189037,
18.9037,µm,Spot,Position,346,1000189035,189038,
