
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,0,,167,,
Number of Spots per Time Point,0,,168,,
Number of Spots per Time Point,0,,169,,
Number of Spots per Time Point,0,,170,,
Number of Spots per Time Point,0,,171,,
Number of Spots per Time Point,0,,172,,
Number of Spots per Time Point,0,,173,,
Number of Spots per Time Point,0,,174,,
Number of Spots per Time Point,0,,175,,
Number of Spots per Time Point,0,,176,,
Number of Spots per Time Point,1,,177,,
Number of Spots per Time Point,1,,178,,
Number of Spots per Time Point,1,,179,,
Number of Spots per Time Point,1,,180,,
Number of Spots per Time Point,0,,181,,
Number of Spots per Time Point,0,,182,,
Number of Spots per Time Point,0,,183,,
Number of Spots per Time Point,0,,184,,
Number of Spots per Time Point,0,,185,,
Number of Spots per Time Point,0,,186,,
Number of Spots per Time Point,0,,187,,
Number of Spots per Time Point,0,,188,,
Number of Spots per Time Point,0,,189,,
Number of Spots per Time Point,0,,190,,
Number of Spots per Time Point,0,,191,,
Number of Spots per Time Point,0,,192,,
Number of Spots per Time Point,0,,193,,
Number of Spots per Time Point,0,,194,,
Number of Spots per Time Point,1,,195,,
Number of Spots per Time Point,1,,196,,
Number of Spots per Time Point,1,,197,,
Number of Spots per Time Point,1,,198,,
Number of Spots per Time Point,0,,199,,
Number of Spots per Time Point,0,,200,,
Number of Spots per Time Point,0,,201,,
Number of Spots per Time Point,0,,202,,
Number of Spots per Time Point,0,,203,,
Number of Spots per Time Point,0,,204,,
Number of Spots per Time Point,0,,205,,
Number of Spots per Time Point,0,,206,,
Number of Spots per Time Point,0,,207,,
Number of Spots per Time Point,0,,208,,
Number of Spots per Time Point,0,,209,,
Number of Spots per Time Point,0,,210,,
Number of Spots per Time Point,0,,211,,
Number of Spots per Time Point,0,,212,,
Number of Spots per Time Point,0,,213,,
Number of Spots per Time Point,0,,214,,
Number of Spots per Time Point,0,,215,,
Number of Spots per Time Point,0,,216,,
Number of Spots per Time Point,0,,217,,
Number of Spots per Time Point,0,,218,,
Number of Spots per Time Point,0,,219,,
Number of Spots per Time Point,0,,220,,
Number of Spots per Time Point,0,,221,,
Number of Spots per Time Point,0,,222,,
Number of Spots per Time Point,0,,223,,
Number of Spots per Time Point,0,,224,,
Number of Spots per Time Point,0,,225,,
Number of Spots per Time Point,0,,226,,
Number of Spots per Time Point,0,,227,,
Number of Spots per Time Point,0,,228,,
Number of Spots per Time Point,0,,229,,
Number of Spots per Time Point,0,,230,,
Number of Spots per Time Point,0,,231,,
Number of Spots per Time Point,0,,232,,
Number of Spots per Time Point,0,,233,,
Number of Spots per Time Point,0,,234,,
Number of Spots per Time Point,0,,235,,
Number of Spots per Time Point,0,,236,,
Number of Spots per Time Point,0,,237,,
Number of Spots per Time Point,0,,238,,
Number of Spots per Time Point,0,,239,,
Number of Spots per Time Point,0,,240,,
Number of Spots per Time Point,0,,241,,
Number of Spots per Time Point,0,,242,,
Number of Spots per Time Point,0,,243,,
Number of Spots per Time Point,0,,244,,
Number of Spots per Time Point,0,,245,,
Number of Spots per Time Point,0,,246,,
Number of Spots per Time Point,0,,247,,
Number of Spots per Time Point,1,,248,,
Number of Spots per Time Point,1,,249,,
Number of Spots per Time Point,1,,250,,
Number of Spots per Time Point,1,,251,,
Number of Spots per Time Point,1,,252,,
Number of Spots per Time Point,0,,253,,
Number of Spots per Time Point,0,,254,,
Number of Spots per Time Point,0,,255,,
Number of Spots per Time Point,0,,256,,
Number of Spots per Time Point,0,,257,,
Number of Spots per Time Point,0,,258,,
Number of Spots per Time Point,0,,259,,
Number of Spots per Time Point,0,,260,,
Number of Spots per Time Point,0,,261,,
Number of Spots per Time Point,0,,262,,
Number of Spots per Time Point,0,,263,,
Number of Spots per Time Point,0,,264,,
Number of Spots per Time Point,0,,265,,
Number of Spots per Time Point,0,,266,,
Number of Spots per Time Point,0,,267,,
Number of Spots per Time Point,0,,268,,
Number of Spots per Time Point,0,,269,,
Number of Spots per Time Point,1,,270,,
Number of Spots per Time Point,1,,271,,
Number of Spots per Time Point,1,,272,,
Number of Spots per Time Point,0,,273,,
Number of Spots per Time Point,0,,274,,
Number of Spots per Time Point,0,,275,,
Number of Spots per Time Point,0,,276,,
Number of Spots per Time Point,0,,277,,
Number of Spots per Time Point,0,,278,,
Number of Spots per Time Point,0,,279,,
Number of Spots per Time Point,0,,280,,
Number of Spots per Time Point,0,,281,,
Number of Spots per Time Point,0,,282,,
Number of Spots per Time Point,0,,283,,
Number of Spots per Time Point,0,,284,,
Number of Spots per Time Point,0,,285,,
Number of Spots per Time Point,0,,286,,
Number of Spots per Time Point,0,,287,,
Number of Spots per Time Point,0,,288,,
Number of Spots per Time Point,0,,289,,
Number of Spots per Time Point,0,,290,,
Number of Spots per Time Point,0,,291,,
Number of Spots per Time Point,0,,292,,
Number of Spots per Time Point,0,,293,,
Number of Spots per Time Point,0,,294,,
Number of Spots per Time Point,0,,295,,
Number of Spots per Time Point,0,,296,,
Number of Spots per Time Point,0,,297,,
Number of Spots per Time Point,0,,298,,
Number of Spots per Time Point,0,,299,,
Number of Spots per Time Point,0,,300,,
Number of Spots per Time Point,0,,301,,
Number of Spots per Time Point,0,,302,,
Number of Spots per Time Point,0,,303,,
Number of Spots per Time Point,0,,304,,
Number of Spots per Time Point,0,,305,,
Number of Spots per Time Point,0,,306,,
Number of Spots per Time Point,0,,307,,
Number of Spots per Time Point,0,,308,,
Number of Spots per Time Point,0,,309,,
Number of Spots per Time Point,0,,310,,
Number of Spots per Time Point,0,,311,,
Number of Spots per Time Point,0,,312,,
Number of Spots per Time Point,0,,313,,
Number of Spots per Time Point,0,,314,,
Number of Spots per Time Point,0,,315,,
Number of Spots per Time Point,0,,316,,
Number of Spots per Time Point,0,,317,,
Number of Spots per Time Point,0,,318,,
Number of Spots per Time Point,0,,319,,
Number of Spots per Time Point,0,,320,,
Number of Spots per Time Point,0,,321,,
Number of Spots per Time Point,0,,322,,
Number of Spots per Time Point,0,,323,,
Number of Spots per Time Point,0,,324,,
Number of Spots per Time Point,0,,325,,
Number of Spots per Time Point,0,,326,,
Number of Spots per Time Point,1,,327,,
Number of Spots per Time Point,1,,328,,
Number of Spots per Time Point,1,,329,,
Number of Spots per Time Point,1,,330,,
Number of Spots per Time Point,0,,331,,
Number of Spots per Time Point,0,,332,,
Number of Spots per Time Point,0,,333,,
Number of Spots per Time Point,0,,334,,
Number of Spots per Time Point,0,,335,,
Number of Spots per Time Point,0,,336,,
Number of Spots per Time Point,0,,337,,
Number of Spots per Time Point,0,,338,,
Number of Spots per Time Point,0,,339,,
Number of Spots per Time Point,0,,340,,
Number of Spots per Time Point,0,,341,,
Number of Spots per Time Point,0,,342,,
Number of Spots per Time Point,0,,343,,
Number of Spots per Time Point,0,,344,,
Number of Spots per Time Point,0,,345,,
Number of Spots per Time Point,1,,346,,
Number of Spots per Time Point,1,,347,,
Number of Spots per Time Point,1,,348,,
Number of Spots per Time Point,1,,349,,
Number of Spots per Time Point,0,,350,,
Number of Spots per Time Point,0,,351,,
Number of Spots per Time Point,0,,352,,
Number of Spots per Time Point,0,,353,,
Number of Spots per Time Point,0,,354,,
Number of Spots per Time Point,0,,355,,
Number of Spots per Time Point,0,,356,,
Number of Spots per Time Point,0,,357,,
Number of Spots per Time Point,0,,358,,
Number of Spots per Time Point,0,,359,,
Number of Spots per Time Point,0,,360,,
Number of Spots per Time Point,0,,361,,
Number of Spots per Time Point,0,,362,,
Number of Spots per Time Point,0,,363,,
