
Velocity Angle X
 ==================== 
Velocity Angle X,Unit,Category,Collection,Time,TrackID,ID,
64.3031,°,Spot,Velocity Angle,8,1000188973,188973,
41.1331,°,Spot,Velocity Angle,9,1000188973,188974,
90.0027,°,Spot,Velocity Angle,10,1000188973,188975,
90.0027,°,Spot,Velocity Angle,11,1000188973,188976,
90.0027,°,Spot,Velocity Angle,12,1000188973,188977,
62.4823,°,Spot,Velocity Angle,13,1000188973,188978,
102.416,°,Spot,Velocity Angle,14,1000188973,188979,
137.925,°,Spot,Velocity Angle,15,1000188973,188980,
62.0715,°,Spot,Velocity Angle,46,1000188985,188985,
59.5904,°,Spot,Velocity Angle,47,1000188985,188986,
59.4866,°,Spot,Velocity Angle,48,1000188985,188987,
53.0717,°,Spot,Velocity Angle,49,1000188985,188988,
86.9488,°,Spot,Velocity Angle,50,1000188985,188989,
109.396,°,Spot,Velocity Angle,51,1000188985,188990,
134.021,°,Spot,Velocity Angle,52,1000188985,188991,
79.9996,°,Spot,Velocity Angle,76,1000188994,188994,
65.5169,°,Spot,Velocity Angle,77,1000188994,188995,
83.7572,°,Spot,Velocity Angle,78,1000188994,188996,
79.893,°,Spot,Velocity Angle,79,1000188994,188997,
119.008,°,Spot,Velocity Angle,158,1000189006,189006,
138.825,°,Spot,Velocity Angle,159,1000189006,189007,
131.234,°,Spot,Velocity Angle,160,1000189006,189008,
82.7408,°,Spot,Velocity Angle,195,1000189009,189009,
90.1185,°,Spot,Velocity Angle,196,1000189009,189010,
74.291,°,Spot,Velocity Angle,197,1000189009,189011,
32.8607,°,Spot,Velocity Angle,198,1000189009,189012,
94.0946,°,Spot,Velocity Angle,248,1000189013,189013,
85.9311,°,Spot,Velocity Angle,249,1000189013,189014,
55.9876,°,Spot,Velocity Angle,250,1000189013,189015,
113.166,°,Spot,Velocity Angle,251,1000189013,189016,
137.981,°,Spot,Velocity Angle,252,1000189013,189017,
126.439,°,Spot,Velocity Angle,270,1000189020,189020,
139.945,°,Spot,Velocity Angle,271,1000189020,189021,
117.068,°,Spot,Velocity Angle,272,1000189020,189022,
65.9743,°,Spot,Velocity Angle,63,1000189023,189023,
77.8527,°,Spot,Velocity Angle,64,1000189023,189024,
87.1277,°,Spot,Velocity Angle,65,1000189023,189025,
88.7992,°,Spot,Velocity Angle,177,1000189026,189026,
45.3537,°,Spot,Velocity Angle,178,1000189026,189027,
76.5953,°,Spot,Velocity Angle,179,1000189026,189028,
78.7175,°,Spot,Velocity Angle,180,1000189026,189029,
94.374,°,Spot,Velocity Angle,327,1000189030,189030,
91.8539,°,Spot,Velocity Angle,328,1000189030,189031,
101.521,°,Spot,Velocity Angle,329,1000189030,189032,
97.2994,°,Spot,Velocity Angle,330,1000189030,189033,
67.3249,°,Spot,Velocity Angle,347,1000189035,189035,
71.1059,°,Spot,Velocity Angle,348,1000189035,189036,
106.453,°,Spot,Velocity Angle,349,1000189035,189037,
77.4231,°,Spot,Velocity Angle,346,1000189035,189038,
