
Position Z
 ==================== 
Position Z,Unit,Category,Collection,Time,TrackID,ID,
15.9641,µm,Spot,Position,95,1000125942,125942,
15.6263,µm,Spot,Position,96,1000125942,125943,
15.4637,µm,Spot,Position,93,1000125942,125944,
15.9855,µm,Spot,Position,94,1000125942,125945,
17.9853,µm,Spot,Position,117,1000125946,125946,
16.2969,µm,Spot,Position,118,1000125946,125947,
16.2053,µm,Spot,Position,119,1000125946,125948,
22.8112,µm,Spot,Position,134,1000125949,125949,
22.8827,µm,Spot,Position,135,1000125949,125950,
22.1941,µm,Spot,Position,136,1000125949,125951,
22.8129,µm,Spot,Position,137,1000125949,125952,
40.412,µm,Spot,Position,177,1000125953,125953,
40.6197,µm,Spot,Position,178,1000125953,125954,
41.5392,µm,Spot,Position,179,1000125953,125955,
39.5897,µm,Spot,Position,180,1000125953,125956,
30.0924,µm,Spot,Position,106,1000125957,125957,
30.0491,µm,Spot,Position,107,1000125957,125958,
29.7537,µm,Spot,Position,108,1000125957,125959,
29.4382,µm,Spot,Position,109,1000125957,125960,
