
Position X
 ==================== 
Position X,Unit,Category,Collection,Time,TrackID,ID,
24.1335,µm,Spot,Position,95,1000125942,125942,
24.0405,µm,Spot,Position,96,1000125942,125943,
24.1335,µm,Spot,Position,93,1000125942,125944,
24.2265,µm,Spot,Position,94,1000125942,125945,
20.6925,µm,Spot,Position,117,1000125946,125946,
21.0645,µm,Spot,Position,118,1000125946,125947,
20.9715,µm,Spot,Position,119,1000125946,125948,
33.8055,µm,Spot,Position,134,1000125949,125949,
33.8055,µm,Spot,Position,135,1000125949,125950,
34.2705,µm,Spot,Position,136,1000125949,125951,
33.8055,µm,Spot,Position,137,1000125949,125952,
44.4075,µm,Spot,Position,177,1000125953,125953,
45.0585,µm,Spot,Position,178,1000125953,125954,
44.4075,µm,Spot,Position,179,1000125953,125955,
45.1515,µm,Spot,Position,180,1000125953,125956,
36.5955,µm,Spot,Position,106,1000125957,125957,
37.1535,µm,Spot,Position,107,1000125957,125958,
36.6885,µm,Spot,Position,108,1000125957,125959,
36.9675,µm,Spot,Position,109,1000125957,125960,
