
Track Position Z Mean
 ==================== 
Track Position Z Mean,Unit,Category,Collection,ID,
15.7599,µm,Track,Track Position,1000125942,
16.8292,µm,Track,Track Position,1000125946,
22.6752,µm,Track,Track Position,1000125949,
40.5402,µm,Track,Track Position,1000125953,
29.8333,µm,Track,Track Position,1000125957,
