
Displacement Delta Y
 ==================== 
Displacement Delta Y,Unit,Category,Collection,Time,TrackID,ID,
0.972473,µm,Spot,Displacement Delta,95,1000125942,125942,
-0.248116,µm,Spot,Displacement Delta,96,1000125942,125943,
-0.173065,µm,Spot,Displacement Delta,93,1000125942,125944,
-0.551292,µm,Spot,Displacement Delta,94,1000125942,125945,
0,µm,Spot,Displacement Delta,117,1000125946,125946,
0.00232887,µm,Spot,Displacement Delta,118,1000125946,125947,
-0.598415,µm,Spot,Displacement Delta,119,1000125946,125948,
0,µm,Spot,Displacement Delta,134,1000125949,125949,
0.19368,µm,Spot,Displacement Delta,135,1000125949,125950,
1.08553,µm,Spot,Displacement Delta,136,1000125949,125951,
-0.765667,µm,Spot,Displacement Delta,137,1000125949,125952,
0,µm,Spot,Displacement Delta,177,1000125953,125953,
0.213949,µm,Spot,Displacement Delta,178,1000125953,125954,
0.0387287,µm,Spot,Displacement Delta,179,1000125953,125955,
0.913031,µm,Spot,Displacement Delta,180,1000125953,125956,
0,µm,Spot,Displacement Delta,106,1000125957,125957,
0.123892,µm,Spot,Displacement Delta,107,1000125957,125958,
-0.229683,µm,Spot,Displacement Delta,108,1000125957,125959,
0.508469,µm,Spot,Displacement Delta,109,1000125957,125960,
