
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
-1.07299,-0.121765,-1.27289,µm,Spot,Displacement Delta,72,1008097535,8097606,
-0.172085,1.21762,1.72542,µm,Spot,Displacement Delta,73,1008097535,8097607,
1.38589,-0.243526,-0.82486,µm,Spot,Displacement Delta,74,1008097535,8097608,
0.654583,-0.60881,1.55846,µm,Spot,Displacement Delta,75,1008097535,8097609,
-0.320187,-0.081749,0.256439,µm,Spot,Displacement Delta,76,1008097535,8097610,
-0.957924,0.153027,-0.532501,µm,Spot,Displacement Delta,77,1008097535,8097611,
0.779388,-0.259624,-0.532499,µm,Spot,Displacement Delta,78,1008097535,8097612,
0.191505,-0.0122681,1.065,µm,Spot,Displacement Delta,79,1008097535,8097613,
1.32971,-0.348526,0.532499,µm,Spot,Displacement Delta,80,1008097535,8097614,
-0.525238,0.420818,0,µm,Spot,Displacement Delta,81,1008097535,8097615,
0.530682,-0.165257,-0.532499,µm,Spot,Displacement Delta,82,1008097535,8097616,
1.03753,-0.273857,1.065,µm,Spot,Displacement Delta,83,1008097535,8097617,
-0.713085,0.294201,-0.532501,µm,Spot,Displacement Delta,84,1008097535,8097618,
-0.406872,0.434074,0,µm,Spot,Displacement Delta,85,1008097535,8097619,
-0.135975,-0.152172,0.532501,µm,Spot,Displacement Delta,86,1008097535,8097620,
-0.203415,0.252899,-1.065,µm,Spot,Displacement Delta,87,1008097535,8097621,
0.944706,-0.602776,-0.532501,µm,Spot,Displacement Delta,88,1008097535,8097622,
0.407593,-0.0616188,-0.532499,µm,Spot,Displacement Delta,89,1008097535,8097623,
-1.44073,0.934895,0,µm,Spot,Displacement Delta,90,1008097535,8097624,
-1.54812,0.113258,-1.065,µm,Spot,Displacement Delta,91,1008097535,8097625,
0.1763,0.633736,0,µm,Spot,Displacement Delta,92,1008097535,8097626,
1.75457,-1.20833,1.5975,µm,Spot,Displacement Delta,93,1008097535,8097627,
-0.690796,0.202511,-1.065,µm,Spot,Displacement Delta,94,1008097535,8097628,
-1.15117,0.896599,-1.065,µm,Spot,Displacement Delta,95,1008097535,8097629,
0.279205,-0.0696411,-0.532499,µm,Spot,Displacement Delta,96,1008097535,8097630,
-1.68777,0.156097,-2.13,µm,Spot,Displacement Delta,97,1008097535,8097631,
0.427475,-0.605305,0.532501,µm,Spot,Displacement Delta,98,1008097535,8097632,
0.231632,0.00477219,0.532499,µm,Spot,Displacement Delta,99,1008097535,8097633,
0.255783,0.323097,-1.065,µm,Spot,Displacement Delta,100,1008097535,8097634,
1.2075,-0.450512,2.13,µm,Spot,Displacement Delta,101,1008097535,8097635,
-0.980164,-0.108746,0,µm,Spot,Displacement Delta,102,1008097535,8097636,
0.436382,0.544415,0,µm,Spot,Displacement Delta,103,1008097535,8097637,
0.577351,-0.102978,1.065,µm,Spot,Displacement Delta,104,1008097535,8097638,
0.13319,0.159817,-0.532499,µm,Spot,Displacement Delta,105,1008097535,8097639,
0.887989,-0.801399,1.065,µm,Spot,Displacement Delta,106,1008097535,8097640,
0.993633,-0.134411,0,µm,Spot,Displacement Delta,107,1008097535,8097641,
0.434128,0.152962,0.532499,µm,Spot,Displacement Delta,108,1008097535,8097642,
1.3033,-1.20452,0.532499,µm,Spot,Displacement Delta,109,1008097535,8097643,
-1.61644,1.06495,-1.065,µm,Spot,Displacement Delta,110,1008097535,8097644,
-2.37551,0.469994,0,µm,Spot,Displacement Delta,111,1008097535,8097645,
0.777454,-0.402527,0,µm,Spot,Displacement Delta,112,1008097535,8097646,
-1.50187,0.322117,0,µm,Spot,Displacement Delta,113,1008097535,8097647,
