
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
25.4018,,Spot,2,Image 1,109,1008097535,8097643,
31.2695,,Spot,2,Image 1,110,1008097535,8097644,
33.5679,,Spot,2,Image 1,111,1008097535,8097645,
35.5038,,Spot,2,Image 1,112,1008097535,8097646,
33.0759,,Spot,2,Image 1,113,1008097535,8097647,
25.0587,,Spot,2,Image 1,114,1008097535,8097648,
28.0653,,Spot,2,Image 1,115,1008097535,8097649,
31.1967,,Spot,2,Image 1,116,1008097535,8097650,
27.8379,,Spot,2,Image 1,117,1008097535,8097651,
28.7102,,Spot,2,Image 1,118,1008097535,8097652,
31.2907,,Spot,2,Image 1,119,1008097535,8097653,
22.6325,,Spot,2,Image 1,120,1008097535,8097654,
27.6685,,Spot,2,Image 1,121,1008097535,8097655,
26.3466,,Spot,2,Image 1,122,1008097535,8097656,
21.3917,,Spot,2,Image 1,123,1008097535,8097657,
28.3923,,Spot,2,Image 1,124,1008097535,8097658,
28.359,,Spot,2,Image 1,125,1008097535,8097659,
29.7625,,Spot,2,Image 1,126,1008097535,8097660,
33.0705,,Spot,2,Image 1,127,1008097535,8097661,
26.0103,,Spot,2,Image 1,128,1008097535,8097662,
25.1297,,Spot,2,Image 1,129,1008097535,8097663,
25.4312,,Spot,2,Image 1,130,1008097535,8097664,
26.5067,,Spot,2,Image 1,131,1008097535,8097665,
27.8039,,Spot,2,Image 1,132,1008097535,8097666,
27.7773,,Spot,2,Image 1,133,1008097535,8097667,
26.5242,,Spot,2,Image 1,134,1008097535,8097668,
32.2614,,Spot,2,Image 1,135,1008097535,8097669,
30.3748,,Spot,2,Image 1,136,1008097535,8097670,
28.1364,,Spot,2,Image 1,137,1008097535,8097671,
27.338,,Spot,2,Image 1,138,1008097535,8097672,
22.8694,,Spot,2,Image 1,139,1008097535,8097673,
23.7627,,Spot,2,Image 1,140,1008097535,8097674,
22.5079,,Spot,2,Image 1,141,1008097535,8097675,
22.11,,Spot,2,Image 1,142,1008097535,8097676,
24.6764,,Spot,2,Image 1,143,1008097535,8097677,
22.3753,,Spot,2,Image 1,144,1008097535,8097678,
25.367,,Spot,2,Image 1,145,1008097535,8097679,
25.1586,,Spot,2,Image 1,146,1008097535,8097680,
26.6205,,Spot,2,Image 1,147,1008097535,8097681,
28.5989,,Spot,2,Image 1,148,1008097535,8097682,
25.9535,,Spot,2,Image 1,149,1008097535,8097683,
24.1135,,Spot,2,Image 1,150,1008097535,8097684,
26.3285,,Spot,2,Image 1,151,1008097535,8097685,
24.9301,,Spot,2,Image 1,152,1008097535,8097686,
23.29,,Spot,2,Image 1,153,1008097535,8097687,
22.6868,,Spot,2,Image 1,154,1008097535,8097688,
26.7056,,Spot,2,Image 1,155,1008097535,8097689,
24.1615,,Spot,2,Image 1,156,1008097535,8097690,
26.2301,,Spot,2,Image 1,157,1008097535,8097691,
21.3783,,Spot,2,Image 1,158,1008097535,8097692,
23.0208,,Spot,2,Image 1,159,1008097535,8097693,
22.6669,,Spot,2,Image 1,160,1008097535,8097694,
22.7963,,Spot,2,Image 1,161,1008097535,8097695,
26.4344,,Spot,2,Image 1,162,1008097535,8097696,
21.0071,,Spot,2,Image 1,163,1008097535,8097697,
23.3303,,Spot,2,Image 1,164,1008097535,8097698,
23.6032,,Spot,2,Image 1,165,1008097535,8097699,
25.6132,,Spot,2,Image 1,166,1008097535,8097700,
23.728,,Spot,2,Image 1,167,1008097535,8097701,
23.2141,,Spot,2,Image 1,168,1008097535,8097702,
26.0671,,Spot,2,Image 1,169,1008097535,8097703,
21.4824,,Spot,2,Image 1,170,1008097535,8097704,
24.5,,Spot,2,Image 1,171,1008097535,8097705,
23.1063,,Spot,2,Image 1,172,1008097535,8097706,
24.1516,,Spot,2,Image 1,173,1008097535,8097707,
27.1896,,Spot,2,Image 1,174,1008097535,8097708,
22.419,,Spot,2,Image 1,175,1008097535,8097709,
23.1189,,Spot,2,Image 1,176,1008097535,8097710,
24.2859,,Spot,2,Image 1,177,1008097535,8097711,
20.6148,,Spot,2,Image 1,178,1008097535,8097712,
22.7243,,Spot,2,Image 1,179,1008097535,8097713,
25.8836,,Spot,2,Image 1,180,1008097535,8097714,
23.2388,,Spot,2,Image 1,181,1008097535,8097715,
24.1009,,Spot,2,Image 1,182,1008097535,8097716,
22.7775,,Spot,2,Image 1,183,1008097535,8097717,
25.6155,,Spot,2,Image 1,184,1008097535,8097718,
16.9449,,Spot,2,Image 1,185,1008097535,8097719,
28.9509,,Spot,2,Image 1,186,1008097535,8097720,
29.2797,,Spot,2,Image 1,187,1008097535,8097721,
35.258,,Spot,2,Image 1,188,1008097535,8097722,
33.5874,,Spot,2,Image 1,189,1008097535,8097723,
30.3669,,Spot,2,Image 1,190,1008097535,8097724,
29.2063,,Spot,2,Image 1,191,1008097535,8097725,
23.6424,,Spot,2,Image 1,192,1008097535,8097726,
25.6978,,Spot,2,Image 1,193,1008097535,8097727,
29.8339,,Spot,2,Image 1,194,1008097535,8097728,
25.0138,,Spot,2,Image 1,195,1008097535,8097729,
24.8324,,Spot,2,Image 1,196,1008097535,8097730,
24.278,,Spot,2,Image 1,197,1008097535,8097731,
18.314,,Spot,2,Image 1,198,1008097535,8097732,
18.0277,,Spot,2,Image 1,199,1008097535,8097733,
18.9935,,Spot,2,Image 1,200,1008097535,8097734,
18.2588,,Spot,2,Image 1,201,1008097535,8097735,
17.694,,Spot,2,Image 1,202,1008097535,8097736,
22.2862,,Spot,2,Image 1,203,1008097535,8097737,
22.07,,Spot,2,Image 1,204,1008097535,8097738,
20.7561,,Spot,2,Image 1,205,1008097535,8097739,
19.8226,,Spot,2,Image 1,206,1008097535,8097740,
21.1487,,Spot,2,Image 1,207,1008097535,8097741,
16.0679,,Spot,2,Image 1,208,1008097535,8097742,
16.6776,,Spot,2,Image 1,209,1008097535,8097743,
14.4222,,Spot,2,Image 1,210,1008097535,8097744,
16.4274,,Spot,2,Image 1,211,1008097535,8097745,
19.4789,,Spot,2,Image 1,212,1008097535,8097746,
16.176,,Spot,2,Image 1,213,1008097535,8097747,
25.8049,,Spot,2,Image 1,214,1008097535,8097748,
23.3657,,Spot,2,Image 1,215,1008097535,8097749,
23.4167,,Spot,2,Image 1,216,1008097535,8097750,
20.7087,,Spot,2,Image 1,217,1008097535,8097751,
21.8136,,Spot,2,Image 1,218,1008097535,8097752,
20.5149,,Spot,2,Image 1,219,1008097535,8097753,
23.533,,Spot,2,Image 1,220,1008097535,8097754,
21.9429,,Spot,2,Image 1,221,1008097535,8097755,
14.9195,,Spot,2,Image 1,222,1008097535,8097756,
