
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
261.056,,Spot,2,Image 1,113,1008097535,8097647,
250.008,,Spot,2,Image 1,114,1008097535,8097648,
254.048,,Spot,2,Image 1,115,1008097535,8097649,
256.992,,Spot,2,Image 1,116,1008097535,8097650,
260.032,,Spot,2,Image 1,117,1008097535,8097651,
292,,Spot,2,Image 1,118,1008097535,8097652,
270.04,,Spot,2,Image 1,119,1008097535,8097653,
244.08,,Spot,2,Image 1,120,1008097535,8097654,
250,,Spot,2,Image 1,121,1008097535,8097655,
249.992,,Spot,2,Image 1,122,1008097535,8097656,
244.072,,Spot,2,Image 1,123,1008097535,8097657,
245.928,,Spot,2,Image 1,124,1008097535,8097658,
241.968,,Spot,2,Image 1,125,1008097535,8097659,
246.016,,Spot,2,Image 1,126,1008097535,8097660,
246.08,,Spot,2,Image 1,127,1008097535,8097661,
242,,Spot,2,Image 1,128,1008097535,8097662,
242,,Spot,2,Image 1,129,1008097535,8097663,
242.112,,Spot,2,Image 1,130,1008097535,8097664,
243.992,,Spot,2,Image 1,131,1008097535,8097665,
248.02,,Spot,2,Image 1,132,1008097535,8097666,
239.952,,Spot,2,Image 1,133,1008097535,8097667,
235.984,,Spot,2,Image 1,134,1008097535,8097668,
249.984,,Spot,2,Image 1,135,1008097535,8097669,
252.06,,Spot,2,Image 1,136,1008097535,8097670,
243.984,,Spot,2,Image 1,137,1008097535,8097671,
243.968,,Spot,2,Image 1,138,1008097535,8097672,
236.028,,Spot,2,Image 1,139,1008097535,8097673,
240.048,,Spot,2,Image 1,140,1008097535,8097674,
240,,Spot,2,Image 1,141,1008097535,8097675,
240.032,,Spot,2,Image 1,142,1008097535,8097676,
241.98,,Spot,2,Image 1,143,1008097535,8097677,
240,,Spot,2,Image 1,144,1008097535,8097678,
244.028,,Spot,2,Image 1,145,1008097535,8097679,
240.048,,Spot,2,Image 1,146,1008097535,8097680,
239.008,,Spot,2,Image 1,147,1008097535,8097681,
242.016,,Spot,2,Image 1,148,1008097535,8097682,
237.984,,Spot,2,Image 1,149,1008097535,8097683,
240.032,,Spot,2,Image 1,150,1008097535,8097684,
248.04,,Spot,2,Image 1,151,1008097535,8097685,
241.968,,Spot,2,Image 1,152,1008097535,8097686,
242.032,,Spot,2,Image 1,153,1008097535,8097687,
240.016,,Spot,2,Image 1,154,1008097535,8097688,
