
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
166,s,Spot,167,1000003611,3954,
167,s,Spot,168,1000003611,3955,
168,s,Spot,169,1000003611,3956,
169,s,Spot,170,1000003611,3957,
170,s,Spot,171,1000003611,3958,
171,s,Spot,172,1000003611,3959,
172,s,Spot,173,1000003611,3960,
173,s,Spot,174,1000003611,3961,
174,s,Spot,175,1000003611,3962,
175,s,Spot,176,1000003611,3963,
176,s,Spot,177,1000003611,3964,
177,s,Spot,178,1000003611,3965,
178,s,Spot,179,1000003611,3966,
179,s,Spot,180,1000003611,3967,
180,s,Spot,181,1000003611,3968,
181,s,Spot,182,1000003611,3969,
182,s,Spot,183,1000003611,3970,
183,s,Spot,184,1000003611,3971,
184,s,Spot,185,1000003611,3972,
185,s,Spot,186,1000003611,3973,
186,s,Spot,187,1000003611,3974,
187,s,Spot,188,1000003611,3975,
188,s,Spot,189,1000003611,3976,
189,s,Spot,190,1000003611,3977,
190,s,Spot,191,1000003611,3978,
191,s,Spot,192,1000003611,3979,
192,s,Spot,193,1000003611,3980,
193,s,Spot,194,1000003611,3981,
194,s,Spot,195,1000003611,3982,
195,s,Spot,196,1000003611,3983,
196,s,Spot,197,1000003611,3984,
197,s,Spot,198,1000003611,3985,
198,s,Spot,199,1000003611,3986,
199,s,Spot,200,1000003611,3987,
200,s,Spot,201,1000003611,3988,
201,s,Spot,202,1000003611,3989,
202,s,Spot,203,1000003611,3990,
203,s,Spot,204,1000003611,3991,
204,s,Spot,205,1000003611,3992,
205,s,Spot,206,1000003611,3993,
206,s,Spot,207,1000003611,3994,
207,s,Spot,208,1000003611,3995,
208,s,Spot,209,1000003611,3996,
209,s,Spot,210,1000003611,3997,
210,s,Spot,211,1000003611,3998,
211,s,Spot,212,1000003611,3999,
212,s,Spot,213,1000003611,4000,
213,s,Spot,214,1000003611,4001,
214,s,Spot,215,1000003611,4002,
215,s,Spot,216,1000003611,4003,
216,s,Spot,217,1000003611,4004,
217,s,Spot,218,1000003611,4005,
218,s,Spot,219,1000003611,4006,
219,s,Spot,220,1000003611,4007,
220,s,Spot,221,1000003611,4008,
221,s,Spot,222,1000003611,4009,
222,s,Spot,223,1000003611,4010,
223,s,Spot,224,1000003611,4011,
224,s,Spot,225,1000003611,4012,
225,s,Spot,226,1000003611,4013,
226,s,Spot,227,1000003611,4014,
227,s,Spot,228,1000003611,4015,
228,s,Spot,229,1000003611,4016,
229,s,Spot,230,1000003611,4017,
230,s,Spot,231,1000003611,4018,
231,s,Spot,232,1000003611,4019,
232,s,Spot,233,1000003611,4020,
233,s,Spot,234,1000003611,4021,
234,s,Spot,235,1000003611,4022,
235,s,Spot,236,1000003611,4023,
236,s,Spot,237,1000003611,4024,
237,s,Spot,238,1000003611,4025,
238,s,Spot,239,1000003611,4026,
239,s,Spot,240,1000003611,4027,
240,s,Spot,241,1000003611,4028,
241,s,Spot,242,1000003611,4029,
242,s,Spot,243,1000003611,4030,
243,s,Spot,244,1000003611,4031,
244,s,Spot,245,1000003611,4032,
245,s,Spot,246,1000003611,4033,
246,s,Spot,247,1000003611,4034,
247,s,Spot,248,1000003611,4035,
248,s,Spot,249,1000003611,4036,
249,s,Spot,250,1000003611,4037,
250,s,Spot,251,1000003611,4038,
251,s,Spot,252,1000003611,4039,
252,s,Spot,253,1000003611,4040,
253,s,Spot,254,1000003611,4041,
254,s,Spot,255,1000003611,4042,
255,s,Spot,256,1000003611,4043,
256,s,Spot,257,1000003611,4044,
257,s,Spot,258,1000003611,4045,
258,s,Spot,259,1000003611,4046,
259,s,Spot,260,1000003611,4047,
260,s,Spot,261,1000003611,4048,
261,s,Spot,262,1000003611,4049,
262,s,Spot,263,1000003611,4050,
263,s,Spot,264,1000003611,4051,
264,s,Spot,265,1000003611,4052,
265,s,Spot,266,1000003611,4053,
266,s,Spot,267,1000003611,4054,
267,s,Spot,268,1000003611,4055,
268,s,Spot,269,1000003611,4056,
269,s,Spot,270,1000003611,4057,
270,s,Spot,271,1000003611,4058,
271,s,Spot,272,1000003611,4059,
272,s,Spot,273,1000003611,4060,
273,s,Spot,274,1000003611,4061,
274,s,Spot,275,1000003611,4062,
275,s,Spot,276,1000003611,4063,
276,s,Spot,277,1000003611,4064,
277,s,Spot,278,1000003611,4065,
278,s,Spot,279,1000003611,4066,
279,s,Spot,280,1000003611,4067,
280,s,Spot,281,1000003611,4068,
281,s,Spot,282,1000003611,4069,
