
Intensity Max Ch=1 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
340,,Spot,1,Image 1,184,1000024480,24565,
274,,Spot,1,Image 1,261,1000024566,24566,
298,,Spot,1,Image 1,262,1000024566,24567,
286,,Spot,1,Image 1,263,1000024566,24568,
304,,Spot,1,Image 1,264,1000024566,24569,
365,,Spot,1,Image 1,265,1000024566,24570,
436,,Spot,1,Image 1,266,1000024566,24571,
447,,Spot,1,Image 1,267,1000024566,24572,
444,,Spot,1,Image 1,268,1000024566,24573,
394,,Spot,1,Image 1,269,1000024566,24574,
376,,Spot,1,Image 1,270,1000024566,24575,
430,,Spot,1,Image 1,271,1000024566,24576,
399,,Spot,1,Image 1,272,1000024566,24577,
381,,Spot,1,Image 1,273,1000024566,24578,
372,,Spot,1,Image 1,274,1000024566,24579,
380,,Spot,1,Image 1,275,1000024566,24580,
361,,Spot,1,Image 1,276,1000024566,24581,
373,,Spot,1,Image 1,277,1000024566,24582,
411,,Spot,1,Image 1,278,1000024566,24583,
393,,Spot,1,Image 1,279,1000024566,24584,
377,,Spot,1,Image 1,280,1000024566,24585,
425,,Spot,1,Image 1,281,1000024566,24586,
375,,Spot,1,Image 1,282,1000024566,24587,
348,,Spot,1,Image 1,283,1000024566,24588,
365,,Spot,1,Image 1,284,1000024566,24589,
377,,Spot,1,Image 1,285,1000024566,24590,
423,,Spot,1,Image 1,286,1000024566,24591,
417,,Spot,1,Image 1,287,1000024566,24592,
367,,Spot,1,Image 1,288,1000024566,24593,
388,,Spot,1,Image 1,289,1000024566,24594,
350,,Spot,1,Image 1,290,1000024566,24595,
340,,Spot,1,Image 1,291,1000024566,24596,
379,,Spot,1,Image 1,292,1000024566,24597,
384,,Spot,1,Image 1,293,1000024566,24598,
439,,Spot,1,Image 1,294,1000024566,24599,
414,,Spot,1,Image 1,295,1000024566,24600,
420,,Spot,1,Image 1,296,1000024566,24601,
381,,Spot,1,Image 1,297,1000024566,24602,
434,,Spot,1,Image 1,298,1000024566,24603,
404,,Spot,1,Image 1,299,1000024566,24604,
369,,Spot,1,Image 1,300,1000024566,24605,
414,,Spot,1,Image 1,301,1000024566,24606,
426,,Spot,1,Image 1,302,1000024566,24607,
413,,Spot,1,Image 1,303,1000024566,24608,
377,,Spot,1,Image 1,304,1000024566,24609,
382,,Spot,1,Image 1,305,1000024566,24610,
386,,Spot,1,Image 1,306,1000024566,24611,
237,,Spot,1,Image 1,271,1000024613,24613,
237,,Spot,1,Image 1,272,1000024613,24614,
239,,Spot,1,Image 1,273,1000024613,24615,
247,,Spot,1,Image 1,274,1000024613,24616,
259,,Spot,1,Image 1,275,1000024613,24617,
261,,Spot,1,Image 1,276,1000024613,24618,
265,,Spot,1,Image 1,277,1000024613,24619,
283,,Spot,1,Image 1,278,1000024613,24620,
340,,Spot,1,Image 1,279,1000024613,24621,
342,,Spot,1,Image 1,280,1000024613,24622,
441,,Spot,1,Image 1,281,1000024613,24623,
361,,Spot,1,Image 1,282,1000024613,24624,
354,,Spot,1,Image 1,283,1000024613,24625,
307,,Spot,1,Image 1,284,1000024613,24626,
313,,Spot,1,Image 1,285,1000024613,24627,
323,,Spot,1,Image 1,286,1000024613,24628,
343,,Spot,1,Image 1,287,1000024613,24629,
321,,Spot,1,Image 1,288,1000024613,24630,
341,,Spot,1,Image 1,289,1000024613,24631,
354,,Spot,1,Image 1,290,1000024613,24632,
350,,Spot,1,Image 1,291,1000024613,24633,
356,,Spot,1,Image 1,292,1000024613,24634,
372,,Spot,1,Image 1,293,1000024613,24635,
383,,Spot,1,Image 1,294,1000024613,24636,
354,,Spot,1,Image 1,295,1000024613,24637,
338,,Spot,1,Image 1,296,1000024613,24638,
335,,Spot,1,Image 1,297,1000024613,24639,
346,,Spot,1,Image 1,298,1000024613,24640,
337,,Spot,1,Image 1,299,1000024613,24641,
342,,Spot,1,Image 1,300,1000024613,24642,
319,,Spot,1,Image 1,301,1000024613,24643,
338,,Spot,1,Image 1,302,1000024613,24644,
319,,Spot,1,Image 1,303,1000024613,24645,
330,,Spot,1,Image 1,304,1000024613,24646,
319,,Spot,1,Image 1,305,1000024613,24647,
347,,Spot,1,Image 1,306,1000024613,24648,
379,,Spot,1,Image 1,307,1000024613,24649,
361,,Spot,1,Image 1,308,1000024613,24650,
349,,Spot,1,Image 1,309,1000024613,24651,
378,,Spot,1,Image 1,310,1000024613,24652,
423,,Spot,1,Image 1,311,1000024613,24653,
417,,Spot,1,Image 1,312,1000024613,24654,
428,,Spot,1,Image 1,313,1000024613,24655,
496,,Spot,1,Image 1,314,1000024613,24656,
506,,Spot,1,Image 1,315,1000024613,24657,
477,,Spot,1,Image 1,316,1000024613,24658,
317,,Spot,1,Image 1,284,1000024659,24659,
334,,Spot,1,Image 1,285,1000024659,24660,
323,,Spot,1,Image 1,286,1000024659,24661,
333,,Spot,1,Image 1,287,1000024659,24662,
327,,Spot,1,Image 1,288,1000024659,24663,
347,,Spot,1,Image 1,289,1000024659,24664,
343,,Spot,1,Image 1,290,1000024659,24665,
327,,Spot,1,Image 1,291,1000024659,24666,
350,,Spot,1,Image 1,292,1000024659,24667,
342,,Spot,1,Image 1,293,1000024659,24668,
328,,Spot,1,Image 1,294,1000024659,24669,
374,,Spot,1,Image 1,295,1000024659,24670,
350,,Spot,1,Image 1,296,1000024659,24671,
334,,Spot,1,Image 1,297,1000024659,24672,
401,,Spot,1,Image 1,298,1000024659,24673,
340,,Spot,1,Image 1,299,1000024659,24674,
349,,Spot,1,Image 1,300,1000024659,24675,
331,,Spot,1,Image 1,301,1000024659,24676,
317,,Spot,1,Image 1,302,1000024659,24677,
307,,Spot,1,Image 1,303,1000024659,24678,
318,,Spot,1,Image 1,304,1000024659,24679,
346,,Spot,1,Image 1,305,1000024659,24680,
344,,Spot,1,Image 1,306,1000024659,24681,
329,,Spot,1,Image 1,307,1000024659,24682,
333,,Spot,1,Image 1,308,1000024659,24683,
316,,Spot,1,Image 1,309,1000024659,24684,
339,,Spot,1,Image 1,310,1000024659,24685,
326,,Spot,1,Image 1,311,1000024659,24686,
417,,Spot,1,Image 1,312,1000024659,24687,
412,,Spot,1,Image 1,313,1000024659,24688,
441,,Spot,1,Image 1,314,1000024659,24689,
506,,Spot,1,Image 1,315,1000024659,24690,
407,,Spot,1,Image 1,316,1000024659,24691,
416,,Spot,1,Image 1,317,1000024659,24692,
419,,Spot,1,Image 1,318,1000024659,24693,
389,,Spot,1,Image 1,319,1000024659,24694,
381,,Spot,1,Image 1,320,1000024659,24695,
323,,Spot,1,Image 1,355,1000024696,24696,
293,,Spot,1,Image 1,356,1000024696,24697,
304,,Spot,1,Image 1,357,1000024696,24698,
270,,Spot,1,Image 1,358,1000024696,24699,
304,,Spot,1,Image 1,359,1000024696,24700,
310,,Spot,1,Image 1,360,1000024696,24701,
337,,Spot,1,Image 1,361,1000024696,24702,
337,,Spot,1,Image 1,362,1000024696,24703,
357,,Spot,1,Image 1,363,1000024696,24704,
383,,Spot,1,Image 1,364,1000024696,24705,
352,,Spot,1,Image 1,365,1000024696,24706,
349,,Spot,1,Image 1,366,1000024696,24707,
361,,Spot,1,Image 1,367,1000024696,24708,
327,,Spot,1,Image 1,368,1000024696,24709,
339,,Spot,1,Image 1,369,1000024696,24710,
314,,Spot,1,Image 1,370,1000024696,24711,
307,,Spot,1,Image 1,371,1000024696,24712,
293,,Spot,1,Image 1,372,1000024696,24713,
285,,Spot,1,Image 1,373,1000024696,24714,
306,,Spot,1,Image 1,374,1000024696,24715,
297,,Spot,1,Image 1,375,1000024696,24716,
297,,Spot,1,Image 1,376,1000024696,24717,
308,,Spot,1,Image 1,377,1000024696,24718,
298,,Spot,1,Image 1,378,1000024696,24719,
306,,Spot,1,Image 1,379,1000024696,24720,
284,,Spot,1,Image 1,380,1000024696,24721,
296,,Spot,1,Image 1,381,1000024696,24722,
286,,Spot,1,Image 1,382,1000024696,24723,
303,,Spot,1,Image 1,383,1000024696,24724,
307,,Spot,1,Image 1,384,1000024696,24725,
310,,Spot,1,Image 1,385,1000024696,24726,
318,,Spot,1,Image 1,386,1000024696,24727,
338,,Spot,1,Image 1,387,1000024696,24728,
379,,Spot,1,Image 1,348,1000024729,24729,
339,,Spot,1,Image 1,349,1000024729,24730,
329,,Spot,1,Image 1,350,1000024729,24731,
341,,Spot,1,Image 1,351,1000024729,24732,
355,,Spot,1,Image 1,352,1000024729,24733,
319,,Spot,1,Image 1,353,1000024729,24734,
315,,Spot,1,Image 1,354,1000024729,24735,
316,,Spot,1,Image 1,355,1000024729,24736,
314,,Spot,1,Image 1,356,1000024729,24737,
342,,Spot,1,Image 1,357,1000024729,24738,
310,,Spot,1,Image 1,358,1000024729,24739,
328,,Spot,1,Image 1,359,1000024729,24740,
305,,Spot,1,Image 1,360,1000024729,24741,
345,,Spot,1,Image 1,361,1000024729,24742,
315,,Spot,1,Image 1,362,1000024729,24743,
313,,Spot,1,Image 1,363,1000024729,24744,
333,,Spot,1,Image 1,364,1000024729,24745,
343,,Spot,1,Image 1,365,1000024729,24746,
348,,Spot,1,Image 1,366,1000024729,24747,
358,,Spot,1,Image 1,367,1000024729,24748,
355,,Spot,1,Image 1,368,1000024729,24749,
341,,Spot,1,Image 1,369,1000024729,24750,
379,,Spot,1,Image 1,370,1000024729,24751,
367,,Spot,1,Image 1,371,1000024729,24752,
351,,Spot,1,Image 1,372,1000024729,24753,
342,,Spot,1,Image 1,373,1000024729,24754,
338,,Spot,1,Image 1,374,1000024729,24755,
322,,Spot,1,Image 1,375,1000024729,24756,
310,,Spot,1,Image 1,376,1000024729,24757,
309,,Spot,1,Image 1,377,1000024729,24758,
343,,Spot,1,Image 1,378,1000024729,24759,
247,,Spot,1,Image 1,349,1000024760,24760,
226,,Spot,1,Image 1,350,1000024760,24761,
239,,Spot,1,Image 1,351,1000024760,24762,
235,,Spot,1,Image 1,352,1000024760,24763,
231,,Spot,1,Image 1,353,1000024760,24764,
223,,Spot,1,Image 1,354,1000024760,24765,
240,,Spot,1,Image 1,355,1000024760,24766,
232,,Spot,1,Image 1,356,1000024760,24767,
243,,Spot,1,Image 1,357,1000024760,24768,
260,,Spot,1,Image 1,358,1000024760,24769,
313,,Spot,1,Image 1,359,1000024760,24770,
287,,Spot,1,Image 1,360,1000024760,24771,
275,,Spot,1,Image 1,361,1000024760,24772,
280,,Spot,1,Image 1,362,1000024760,24773,
265,,Spot,1,Image 1,363,1000024760,24774,
262,,Spot,1,Image 1,364,1000024760,24775,
300,,Spot,1,Image 1,365,1000024760,24776,
273,,Spot,1,Image 1,366,1000024760,24777,
269,,Spot,1,Image 1,367,1000024760,24778,
300,,Spot,1,Image 1,368,1000024760,24779,
284,,Spot,1,Image 1,369,1000024760,24780,
