
Average Distance To 9 Nearest Neighbours
 ==================== 
Average Distance To 9 Nearest Neighbours,Unit,Category,Time,TrackID,ID,
0,µm,Spot,286,1000024659,24661,
0,µm,Spot,287,1000024659,24662,
0,µm,Spot,288,1000024659,24663,
0,µm,Spot,289,1000024659,24664,
0,µm,Spot,290,1000024659,24665,
0,µm,Spot,291,1000024659,24666,
0,µm,Spot,292,1000024659,24667,
0,µm,Spot,293,1000024659,24668,
0,µm,Spot,294,1000024659,24669,
0,µm,Spot,295,1000024659,24670,
0,µm,Spot,296,1000024659,24671,
0,µm,Spot,297,1000024659,24672,
0,µm,Spot,298,1000024659,24673,
0,µm,Spot,299,1000024659,24674,
0,µm,Spot,300,1000024659,24675,
0,µm,Spot,301,1000024659,24676,
0,µm,Spot,302,1000024659,24677,
0,µm,Spot,303,1000024659,24678,
0,µm,Spot,304,1000024659,24679,
0,µm,Spot,305,1000024659,24680,
0,µm,Spot,306,1000024659,24681,
0,µm,Spot,307,1000024659,24682,
0,µm,Spot,308,1000024659,24683,
0,µm,Spot,309,1000024659,24684,
0,µm,Spot,310,1000024659,24685,
0,µm,Spot,311,1000024659,24686,
0,µm,Spot,312,1000024659,24687,
0,µm,Spot,313,1000024659,24688,
0,µm,Spot,314,1000024659,24689,
0,µm,Spot,315,1000024659,24690,
0,µm,Spot,316,1000024659,24691,
0,µm,Spot,355,1000024696,24696,
0,µm,Spot,356,1000024696,24697,
0,µm,Spot,357,1000024696,24698,
0,µm,Spot,358,1000024696,24699,
0,µm,Spot,359,1000024696,24700,
0,µm,Spot,360,1000024696,24701,
0,µm,Spot,361,1000024696,24702,
0,µm,Spot,362,1000024696,24703,
0,µm,Spot,363,1000024696,24704,
0,µm,Spot,364,1000024696,24705,
0,µm,Spot,365,1000024696,24706,
0,µm,Spot,366,1000024696,24707,
0,µm,Spot,367,1000024696,24708,
0,µm,Spot,368,1000024696,24709,
0,µm,Spot,369,1000024696,24710,
0,µm,Spot,370,1000024696,24711,
0,µm,Spot,371,1000024696,24712,
0,µm,Spot,372,1000024696,24713,
0,µm,Spot,373,1000024696,24714,
0,µm,Spot,374,1000024696,24715,
0,µm,Spot,375,1000024696,24716,
0,µm,Spot,376,1000024696,24717,
0,µm,Spot,377,1000024696,24718,
0,µm,Spot,378,1000024696,24719,
0,µm,Spot,349,1000024729,24730,
0,µm,Spot,350,1000024729,24731,
0,µm,Spot,351,1000024729,24732,
0,µm,Spot,352,1000024729,24733,
0,µm,Spot,353,1000024729,24734,
0,µm,Spot,354,1000024729,24735,
0,µm,Spot,355,1000024729,24736,
0,µm,Spot,356,1000024729,24737,
0,µm,Spot,357,1000024729,24738,
0,µm,Spot,358,1000024729,24739,
0,µm,Spot,359,1000024729,24740,
0,µm,Spot,360,1000024729,24741,
0,µm,Spot,361,1000024729,24742,
0,µm,Spot,362,1000024729,24743,
0,µm,Spot,363,1000024729,24744,
0,µm,Spot,364,1000024729,24745,
0,µm,Spot,365,1000024729,24746,
0,µm,Spot,366,1000024729,24747,
0,µm,Spot,367,1000024729,24748,
0,µm,Spot,368,1000024729,24749,
0,µm,Spot,369,1000024729,24750,
0,µm,Spot,370,1000024729,24751,
0,µm,Spot,371,1000024729,24752,
0,µm,Spot,372,1000024729,24753,
0,µm,Spot,373,1000024729,24754,
0,µm,Spot,374,1000024729,24755,
0,µm,Spot,375,1000024729,24756,
0,µm,Spot,376,1000024729,24757,
0,µm,Spot,377,1000024729,24758,
0,µm,Spot,378,1000024729,24759,
0,µm,Spot,349,1000024760,24760,
0,µm,Spot,350,1000024760,24761,
0,µm,Spot,351,1000024760,24762,
0,µm,Spot,352,1000024760,24763,
0,µm,Spot,353,1000024760,24764,
