
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
0,,Spot,95,1000024401,24401,
1,,Spot,96,1000024401,24402,
2,,Spot,97,1000024401,24403,
3,,Spot,98,1000024401,24404,
4,,Spot,99,1000024401,24405,
5,,Spot,100,1000024401,24406,
6,,Spot,101,1000024401,24407,
7,,Spot,102,1000024401,24408,
8,,Spot,103,1000024401,24409,
9,,Spot,104,1000024401,24410,
10,,Spot,105,1000024401,24411,
11,,Spot,106,1000024401,24412,
12,,Spot,107,1000024401,24413,
13,,Spot,108,1000024401,24414,
14,,Spot,109,1000024401,24415,
15,,Spot,110,1000024401,24416,
16,,Spot,111,1000024401,24417,
17,,Spot,112,1000024401,24418,
18,,Spot,113,1000024401,24419,
19,,Spot,114,1000024401,24420,
20,,Spot,115,1000024401,24421,
21,,Spot,116,1000024401,24422,
22,,Spot,117,1000024401,24423,
23,,Spot,118,1000024401,24424,
24,,Spot,119,1000024401,24425,
25,,Spot,120,1000024401,24426,
26,,Spot,121,1000024401,24427,
27,,Spot,122,1000024401,24428,
28,,Spot,123,1000024401,24429,
29,,Spot,124,1000024401,24430,
30,,Spot,125,1000024401,24431,
31,,Spot,126,1000024401,24432,
32,,Spot,127,1000024401,24433,
33,,Spot,128,1000024401,24434,
34,,Spot,129,1000024401,24435,
35,,Spot,130,1000024401,24436,
36,,Spot,131,1000024401,24437,
37,,Spot,132,1000024401,24438,
38,,Spot,133,1000024401,24439,
39,,Spot,134,1000024401,24440,
0,,Spot,134,1000024480,24480,
40,,Spot,135,1000024401,24481,
1,,Spot,135,1000024480,24482,
41,,Spot,136,1000024401,24483,
2,,Spot,136,1000024480,24484,
42,,Spot,137,1000024401,24485,
3,,Spot,137,1000024480,24486,
43,,Spot,138,1000024401,24487,
4,,Spot,138,1000024480,24488,
44,,Spot,139,1000024401,24489,
5,,Spot,139,1000024480,24490,
45,,Spot,140,1000024401,24491,
6,,Spot,140,1000024480,24492,
46,,Spot,141,1000024401,24493,
7,,Spot,141,1000024480,24494,
47,,Spot,142,1000024401,24495,
8,,Spot,142,1000024480,24496,
48,,Spot,143,1000024401,24497,
9,,Spot,143,1000024480,24498,
49,,Spot,144,1000024401,24499,
10,,Spot,144,1000024480,24500,
50,,Spot,145,1000024401,24501,
11,,Spot,145,1000024480,24502,
51,,Spot,146,1000024401,24503,
12,,Spot,146,1000024480,24504,
52,,Spot,147,1000024401,24505,
13,,Spot,147,1000024480,24506,
53,,Spot,148,1000024401,24507,
14,,Spot,148,1000024480,24508,
54,,Spot,149,1000024401,24509,
15,,Spot,149,1000024480,24510,
55,,Spot,150,1000024401,24511,
16,,Spot,150,1000024480,24512,
56,,Spot,151,1000024401,24513,
17,,Spot,151,1000024480,24514,
57,,Spot,152,1000024401,24515,
18,,Spot,152,1000024480,24516,
58,,Spot,153,1000024401,24517,
19,,Spot,153,1000024480,24518,
59,,Spot,154,1000024401,24519,
20,,Spot,154,1000024480,24520,
60,,Spot,155,1000024401,24521,
21,,Spot,155,1000024480,24522,
61,,Spot,156,1000024401,24523,
22,,Spot,156,1000024480,24524,
62,,Spot,157,1000024401,24525,
23,,Spot,157,1000024480,24526,
63,,Spot,158,1000024401,24527,
24,,Spot,158,1000024480,24528,
64,,Spot,159,1000024401,24529,
25,,Spot,159,1000024480,24530,
65,,Spot,160,1000024401,24531,
26,,Spot,160,1000024480,24532,
66,,Spot,161,1000024401,24533,
27,,Spot,161,1000024480,24534,
67,,Spot,162,1000024401,24535,
