
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
22.0878,11.1135,10.9858,µm,Track,Track Position Start,1000031584,
27.6675,15.6094,29.0768,µm,Track,Track Position Start,1000031618,
28.3916,26.2947,23.2838,µm,Track,Track Position Start,1000031631,
27.3418,35.2018,13.4255,µm,Track,Track Position Start,1000031678,
53.8005,28.2829,37.3733,µm,Track,Track Position Start,1000031703,
49.5225,25.363,32.9145,µm,Track,Track Position Start,1000031773,
