
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,,Spot,98,1000031584,31584,
0.715719,,Spot,99,1000031584,31585,
0.958517,,Spot,100,1000031584,31586,
1.03473,,Spot,101,1000031584,31587,
0.743146,,Spot,102,1000031584,31588,
1.32061,,Spot,103,1000031584,31589,
0.850882,,Spot,104,1000031584,31590,
0.997055,,Spot,105,1000031584,31591,
1.72057,,Spot,106,1000031584,31592,
1.80791,,Spot,107,1000031584,31593,
1.74535,,Spot,108,1000031584,31594,
2.02938,,Spot,109,1000031584,31595,
2.26355,,Spot,110,1000031584,31596,
2.08659,,Spot,111,1000031584,31597,
2.27566,,Spot,112,1000031584,31598,
2.45581,,Spot,113,1000031584,31599,
2.49094,,Spot,114,1000031584,31600,
2.6935,,Spot,115,1000031584,31601,
2.93557,,Spot,116,1000031584,31602,
3.1925,,Spot,117,1000031584,31603,
2.49159,,Spot,118,1000031584,31604,
2.84723,,Spot,119,1000031584,31605,
3.49717,,Spot,120,1000031584,31606,
3.72638,,Spot,121,1000031584,31607,
4.10119,,Spot,122,1000031584,31608,
4.5503,,Spot,123,1000031584,31609,
5.03929,,Spot,124,1000031584,31610,
5.06919,,Spot,125,1000031584,31611,
4.98908,,Spot,126,1000031584,31612,
6.48592,,Spot,127,1000031584,31613,
6.2901,,Spot,128,1000031584,31614,
7.87524,,Spot,129,1000031584,31615,
8.35462,,Spot,130,1000031584,31616,
9.21014,,Spot,131,1000031584,31617,
0,,Spot,145,1000031618,31618,
0.889485,,Spot,146,1000031618,31619,
0.860068,,Spot,147,1000031618,31620,
1.35248,,Spot,148,1000031618,31621,
0.951754,,Spot,149,1000031618,31622,
1.8927,,Spot,150,1000031618,31623,
1.7256,,Spot,151,1000031618,31624,
2.52657,,Spot,152,1000031618,31625,
4.32076,,Spot,153,1000031618,31626,
5.05727,,Spot,154,1000031618,31627,
0,,Spot,166,1000031631,31631,
0.824215,,Spot,167,1000031631,31632,
1.08832,,Spot,168,1000031631,31633,
1.60054,,Spot,169,1000031631,31634,
2.4532,,Spot,170,1000031631,31635,
3.57833,,Spot,171,1000031631,31636,
3.74634,,Spot,172,1000031631,31637,
2.97984,,Spot,173,1000031631,31638,
3.38183,,Spot,174,1000031631,31639,
3.44611,,Spot,175,1000031631,31640,
2.11536,,Spot,176,1000031631,31641,
1.96874,,Spot,177,1000031631,31642,
2.46645,,Spot,178,1000031631,31643,
2.81111,,Spot,179,1000031631,31644,
3.15434,,Spot,180,1000031631,31645,
2.63229,,Spot,181,1000031631,31646,
2.91636,,Spot,182,1000031631,31647,
0,,Spot,182,1000031678,31678,
2.11959,,Spot,183,1000031678,31679,
4.26594,,Spot,183,1000031631,31680,
5.27367,,Spot,184,1000031631,31681,
5.21371,,Spot,184,1000031678,31682,
6.43479,,Spot,185,1000031631,31683,
5.18693,,Spot,185,1000031678,31684,
5.11031,,Spot,186,1000031631,31685,
5.27841,,Spot,186,1000031678,31686,
5.14086,,Spot,187,1000031631,31687,
5.06441,,Spot,187,1000031678,31688,
5.79162,,Spot,188,1000031631,31689,
5.21467,,Spot,188,1000031678,31690,
6.51244,,Spot,189,1000031631,31691,
5.48389,,Spot,189,1000031678,31692,
6.93951,,Spot,190,1000031631,31693,
5.44568,,Spot,190,1000031678,31694,
7.82165,,Spot,191,1000031631,31695,
5.51078,,Spot,191,1000031678,31696,
8.21594,,Spot,192,1000031631,31697,
8.34548,,Spot,193,1000031631,31698,
8.84043,,Spot,194,1000031631,31699,
10.7768,,Spot,195,1000031631,31700,
11.6937,,Spot,196,1000031631,31701,
11.3432,,Spot,197,1000031631,31702,
0,,Spot,213,1000031703,31703,
0.19265,,Spot,214,1000031703,31704,
1.80643,,Spot,215,1000031703,31705,
2.56645,,Spot,216,1000031703,31706,
3.68861,,Spot,217,1000031703,31707,
3.88913,,Spot,218,1000031703,31708,
4.75177,,Spot,219,1000031703,31709,
0,,Spot,219,1000031773,31773,
5.25075,,Spot,220,1000031703,31774,
0.450045,,Spot,220,1000031773,31775,
5.00465,,Spot,221,1000031703,31776,
0.908209,,Spot,221,1000031773,31777,
4.76047,,Spot,222,1000031703,31778,
1.31005,,Spot,222,1000031773,31779,
4.20326,,Spot,223,1000031703,31780,
1.34003,,Spot,223,1000031773,31781,
4.67041,,Spot,224,1000031703,31782,
1.51653,,Spot,224,1000031773,31783,
4.94967,,Spot,225,1000031703,31784,
0.974242,,Spot,225,1000031773,31785,
4.71774,,Spot,226,1000031703,31786,
1.17109,,Spot,226,1000031773,31787,
4.39358,,Spot,227,1000031703,31788,
0.846482,,Spot,227,1000031773,31789,
4.24873,,Spot,228,1000031703,31790,
1.12129,,Spot,228,1000031773,31791,
4.69913,,Spot,229,1000031703,31792,
1.20915,,Spot,229,1000031773,31793,
4.70746,,Spot,230,1000031703,31794,
0.929585,,Spot,230,1000031773,31795,
4.29782,,Spot,231,1000031703,31796,
1.1203,,Spot,231,1000031773,31797,
4.25764,,Spot,232,1000031703,31798,
1.16133,,Spot,232,1000031773,31799,
4.38964,,Spot,233,1000031703,31800,
0.976818,,Spot,233,1000031773,31801,
4.60793,,Spot,234,1000031703,31802,
0.997152,,Spot,234,1000031773,31803,
4.4259,,Spot,235,1000031703,31804,
1.45607,,Spot,235,1000031773,31805,
4.52956,,Spot,236,1000031703,31806,
1.56572,,Spot,236,1000031773,31807,
4.95679,,Spot,237,1000031703,31808,
1.25604,,Spot,237,1000031773,31809,
4.96989,,Spot,238,1000031703,31810,
1.34725,,Spot,238,1000031773,31811,
4.81219,,Spot,239,1000031703,31812,
1.62063,,Spot,239,1000031773,31813,
4.5837,,Spot,240,1000031703,31814,
0.984213,,Spot,240,1000031773,31815,
4.97028,,Spot,241,1000031703,31816,
1.2413,,Spot,241,1000031773,31817,
4.53611,,Spot,242,1000031703,31818,
1.41123,,Spot,242,1000031773,31819,
4.0921,,Spot,243,1000031703,31820,
1.03457,,Spot,243,1000031773,31821,
4.4641,,Spot,244,1000031703,31822,
1.03457,,Spot,244,1000031773,31823,
4.84268,,Spot,245,1000031703,31824,
0.856083,,Spot,245,1000031773,31825,
4.70691,,Spot,246,1000031703,31826,
0.577658,,Spot,246,1000031773,31827,
4.80756,,Spot,247,1000031703,31828,
1.49971,,Spot,247,1000031773,31829,
4.05187,,Spot,248,1000031703,31830,
0.768498,,Spot,248,1000031773,31831,
3.35769,,Spot,249,1000031703,31832,
0.577658,,Spot,249,1000031773,31833,
3.402,,Spot,250,1000031703,31834,
0.508093,,Spot,250,1000031773,31835,
3.21895,,Spot,251,1000031703,31836,
0.575273,,Spot,251,1000031773,31837,
3.35005,,Spot,252,1000031703,31838,
0.573638,,Spot,252,1000031773,31839,
3.37632,,Spot,253,1000031703,31840,
0.545795,,Spot,253,1000031773,31841,
3.63832,,Spot,254,1000031703,31842,
0.753437,,Spot,254,1000031773,31843,
3.40641,,Spot,255,1000031703,31844,
0.651456,,Spot,255,1000031773,31845,
3.5627,,Spot,256,1000031703,31846,
0.668125,,Spot,256,1000031773,31847,
3.88029,,Spot,257,1000031703,31848,
0.974381,,Spot,257,1000031773,31849,
4.11691,,Spot,258,1000031703,31850,
0.974381,,Spot,258,1000031773,31851,
4.24006,,Spot,259,1000031703,31852,
0.702226,,Spot,259,1000031773,31853,
3.98878,,Spot,260,1000031703,31854,
0.724502,,Spot,260,1000031773,31855,
3.96971,,Spot,261,1000031703,31856,
0.843915,,Spot,261,1000031773,31857,
3.81446,,Spot,262,1000031703,31858,
1.01509,,Spot,262,1000031773,31859,
3.85563,,Spot,263,1000031703,31860,
1.09559,,Spot,263,1000031773,31861,
4.06601,,Spot,264,1000031703,31862,
0.733087,,Spot,264,1000031773,31863,
4.08274,,Spot,265,1000031703,31864,
0.782777,,Spot,265,1000031773,31865,
4.10976,,Spot,266,1000031703,31866,
0.836627,,Spot,266,1000031773,31867,
4.24456,,Spot,267,1000031703,31868,
1.47166,,Spot,267,1000031773,31869,
4.00536,,Spot,268,1000031703,31870,
0.926932,,Spot,268,1000031773,31871,
4.0257,,Spot,269,1000031703,31872,
0.653364,,Spot,269,1000031773,31873,
4.28514,,Spot,270,1000031703,31874,
0.893003,,Spot,270,1000031773,31875,
4.36169,,Spot,271,1000031703,31876,
1.46614,,Spot,271,1000031773,31877,
4.28621,,Spot,272,1000031703,31878,
1.25525,,Spot,272,1000031773,31879,
4.62954,,Spot,273,1000031703,31880,
1.1168,,Spot,273,1000031773,31881,
4.76564,,Spot,274,1000031703,31882,
1.12061,,Spot,274,1000031773,31883,
4.54605,,Spot,275,1000031703,31884,
1.05213,,Spot,275,1000031773,31885,
4.46167,,Spot,276,1000031703,31886,
1.15966,,Spot,276,1000031773,31887,
4.55601,,Spot,277,1000031703,31888,
1.31018,,Spot,277,1000031773,31889,
4.50917,,Spot,278,1000031703,31890,
0.869559,,Spot,278,1000031773,31891,
4.65568,,Spot,279,1000031703,31892,
0.937957,,Spot,279,1000031773,31893,
4.9374,,Spot,280,1000031703,31894,
1.27871,,Spot,280,1000031773,31895,
4.70454,,Spot,281,1000031703,31896,
1.1377,,Spot,281,1000031773,31897,
4.79301,,Spot,282,1000031703,31898,
0.840631,,Spot,282,1000031773,31899,
