
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
214,,Spot,2,Image 1,235,1000031773,31805,
232,,Spot,2,Image 1,236,1000031703,31806,
204,,Spot,2,Image 1,236,1000031773,31807,
230,,Spot,2,Image 1,237,1000031703,31808,
212,,Spot,2,Image 1,237,1000031773,31809,
184,,Spot,2,Image 1,238,1000031703,31810,
222,,Spot,2,Image 1,238,1000031773,31811,
228,,Spot,2,Image 1,239,1000031703,31812,
230,,Spot,2,Image 1,239,1000031773,31813,
222,,Spot,2,Image 1,240,1000031703,31814,
224,,Spot,2,Image 1,240,1000031773,31815,
244,,Spot,2,Image 1,241,1000031703,31816,
228,,Spot,2,Image 1,241,1000031773,31817,
226,,Spot,2,Image 1,242,1000031703,31818,
220,,Spot,2,Image 1,242,1000031773,31819,
200,,Spot,2,Image 1,243,1000031703,31820,
222,,Spot,2,Image 1,243,1000031773,31821,
212,,Spot,2,Image 1,244,1000031703,31822,
226,,Spot,2,Image 1,244,1000031773,31823,
220,,Spot,2,Image 1,245,1000031703,31824,
226,,Spot,2,Image 1,245,1000031773,31825,
232,,Spot,2,Image 1,246,1000031703,31826,
206,,Spot,2,Image 1,246,1000031773,31827,
230,,Spot,2,Image 1,247,1000031703,31828,
224,,Spot,2,Image 1,247,1000031773,31829,
226,,Spot,2,Image 1,248,1000031703,31830,
208,,Spot,2,Image 1,248,1000031773,31831,
214,,Spot,2,Image 1,249,1000031703,31832,
204,,Spot,2,Image 1,249,1000031773,31833,
230,,Spot,2,Image 1,250,1000031703,31834,
212,,Spot,2,Image 1,250,1000031773,31835,
206,,Spot,2,Image 1,251,1000031703,31836,
222,,Spot,2,Image 1,251,1000031773,31837,
224,,Spot,2,Image 1,252,1000031703,31838,
198,,Spot,2,Image 1,252,1000031773,31839,
222,,Spot,2,Image 1,253,1000031703,31840,
210,,Spot,2,Image 1,253,1000031773,31841,
212,,Spot,2,Image 1,254,1000031703,31842,
210,,Spot,2,Image 1,254,1000031773,31843,
230,,Spot,2,Image 1,255,1000031703,31844,
218,,Spot,2,Image 1,255,1000031773,31845,
204,,Spot,2,Image 1,256,1000031703,31846,
216,,Spot,2,Image 1,256,1000031773,31847,
220,,Spot,2,Image 1,257,1000031703,31848,
218,,Spot,2,Image 1,257,1000031773,31849,
206,,Spot,2,Image 1,258,1000031703,31850,
214,,Spot,2,Image 1,258,1000031773,31851,
224,,Spot,2,Image 1,259,1000031703,31852,
218,,Spot,2,Image 1,259,1000031773,31853,
212,,Spot,2,Image 1,260,1000031703,31854,
212,,Spot,2,Image 1,260,1000031773,31855,
214,,Spot,2,Image 1,261,1000031703,31856,
208,,Spot,2,Image 1,261,1000031773,31857,
218,,Spot,2,Image 1,262,1000031703,31858,
