
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1000017505,17505,
1.11942,,Spot,2,1000017505,53972,
0.890178,,Spot,3,1000017505,91150,
0.385599,,Spot,4,1000017505,128784,
0.873769,,Spot,5,1000017505,166638,
2.3712,,Spot,6,1000017505,204743,
1.84046,,Spot,7,1000017505,243125,
1.14911,,Spot,8,1000017505,282220,
1.34594,,Spot,9,1000017505,321782,
1.49458,,Spot,10,1000017505,361583,
0.243409,,Spot,11,1000017505,401600,
3.17971,,Spot,12,1000017505,431816,
1.75011,,Spot,13,1000017505,472106,
0.881805,,Spot,14,1000017505,512129,
1.97865,,Spot,15,1000017505,552718,
2.00233,,Spot,16,1000017505,593063,
0.45336,,Spot,17,1000017505,633351,
1.82802,,Spot,18,1000017505,673910,
1.75327,,Spot,19,1000017505,714605,
0.257784,,Spot,20,1000017505,755519,
0.397849,,Spot,21,1000017505,796668,
0.608451,,Spot,22,1000017505,837624,
1.12102,,Spot,23,1000017505,878326,
0.454857,,Spot,24,1000017505,919109,
0.393698,,Spot,25,1000017505,960015,
1.3428,,Spot,26,1000017505,1001088,
0.482239,,Spot,27,1000017505,1042270,
1.07551,,Spot,28,1000017505,1083122,
1.98505,,Spot,29,1000017505,1124220,
2.02251,,Spot,30,1000017505,1165160,
1.53062,,Spot,31,1000017505,1206437,
3.39885,,Spot,32,1000017505,1247528,
1.89801,,Spot,33,1000017505,1289207,
0.313238,,Spot,34,1000017505,1331168,
1.24051,,Spot,35,1000017505,1372813,
1.24185,,Spot,36,1000017505,1414760,
0.513131,,Spot,37,1000017505,1456739,
1.07575,,Spot,38,1000017505,1499223,
1.67364,,Spot,39,1000017505,1541425,
0.313733,,Spot,40,1000017505,1583783,
1.18404,,Spot,41,1000017505,1626381,
0.589825,,Spot,42,1000017505,1668887,
1.32433,,Spot,43,1000017505,1711364,
0.701027,,Spot,44,1000017505,1754387,
1.078,,Spot,45,1000017505,1797791,
0.346435,,Spot,46,1000017505,1841131,
0.21997,,Spot,47,1000017505,1884164,
1.56394,,Spot,49,1000017505,1971299,
1.58168,,Spot,50,1000017505,2006863,
1.20664,,Spot,51,1000017505,2050734,
1.23718,,Spot,52,1000017505,2102742,
0.656613,,Spot,53,1000017505,2146468,
0.799749,,Spot,54,1000017505,2190162,
