
Time Since Track Start
 ==================== 
Time Since Track Start,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1000017505,17505,
1,,Spot,2,1000017505,53972,
2,,Spot,3,1000017505,91150,
3,,Spot,4,1000017505,128784,
4,,Spot,5,1000017505,166638,
5,,Spot,6,1000017505,204743,
6,,Spot,7,1000017505,243125,
7,,Spot,8,1000017505,282220,
8,,Spot,9,1000017505,321782,
9,,Spot,10,1000017505,361583,
10,,Spot,11,1000017505,401600,
11,,Spot,12,1000017505,431816,
12,,Spot,13,1000017505,472106,
13,,Spot,14,1000017505,512129,
14,,Spot,15,1000017505,552718,
15,,Spot,16,1000017505,593063,
16,,Spot,17,1000017505,633351,
17,,Spot,18,1000017505,673910,
18,,Spot,19,1000017505,714605,
19,,Spot,20,1000017505,755519,
20,,Spot,21,1000017505,796668,
21,,Spot,22,1000017505,837624,
22,,Spot,23,1000017505,878326,
23,,Spot,24,1000017505,919109,
24,,Spot,25,1000017505,960015,
25,,Spot,26,1000017505,1001088,
26,,Spot,27,1000017505,1042270,
27,,Spot,28,1000017505,1083122,
28,,Spot,29,1000017505,1124220,
29,,Spot,30,1000017505,1165160,
30,,Spot,31,1000017505,1206437,
31,,Spot,32,1000017505,1247528,
32,,Spot,33,1000017505,1289207,
33,,Spot,34,1000017505,1331168,
34,,Spot,35,1000017505,1372813,
35,,Spot,36,1000017505,1414760,
36,,Spot,37,1000017505,1456739,
37,,Spot,38,1000017505,1499223,
38,,Spot,39,1000017505,1541425,
39,,Spot,40,1000017505,1583783,
40,,Spot,41,1000017505,1626381,
41,,Spot,42,1000017505,1668887,
42,,Spot,43,1000017505,1711364,
43,,Spot,44,1000017505,1754387,
44,,Spot,45,1000017505,1797791,
45,,Spot,46,1000017505,1841131,
46,,Spot,47,1000017505,1884164,
48,,Spot,49,1000017505,1971299,
49,,Spot,50,1000017505,2006863,
50,,Spot,51,1000017505,2050734,
51,,Spot,52,1000017505,2102742,
52,,Spot,53,1000017505,2146468,
53,,Spot,54,1000017505,2190162,
54,,Spot,55,1000017505,2233798,
55,,Spot,56,1000017505,2277373,
56,,Spot,57,1000017505,2320640,
57,,Spot,58,1000017505,2364001,
58,,Spot,59,1000017505,2407423,
59,,Spot,60,1000017505,2450956,
60,,Spot,61,1000017505,2494427,
61,,Spot,62,1000017505,2537806,
62,,Spot,63,1000017505,2580925,
63,,Spot,64,1000017505,2624205,
64,,Spot,65,1000017505,2667743,
65,,Spot,66,1000017505,2711587,
66,,Spot,67,1000017505,2755296,
67,,Spot,68,1000017505,2798763,
68,,Spot,69,1000017505,2842261,
69,,Spot,70,1000017505,2885800,
70,,Spot,71,1000017505,2929389,
71,,Spot,72,1000017505,2973431,
72,,Spot,73,1000017505,3016732,
73,,Spot,74,1000017505,3060487,
74,,Spot,75,1000017505,3104401,
75,,Spot,76,1000017505,3148623,
76,,Spot,77,1000017505,3192243,
77,,Spot,78,1000017505,3235751,
78,,Spot,79,1000017505,3279374,
79,,Spot,80,1000017505,3325066,
80,,Spot,81,1000017505,3368192,
81,,Spot,82,1000017505,3412322,
82,,Spot,83,1000017505,3455837,
83,,Spot,84,1000017505,3499597,
84,,Spot,85,1000017505,3543084,
85,,Spot,86,1000017505,3586165,
86,,Spot,87,1000017505,3629087,
87,,Spot,88,1000017505,3672152,
88,,Spot,89,1000017505,3715051,
89,,Spot,90,1000017505,3757423,
90,,Spot,91,1000017505,3797952,
91,,Spot,92,1000017505,16840448,
92,,Spot,93,1000017505,16840449,
93,,Spot,94,1000017505,16840450,
94,,Spot,95,1000017505,16840451,
95,,Spot,96,1000017505,16840452,
96,,Spot,97,1000017505,16840453,
97,,Spot,98,1000017505,16840454,
98,,Spot,99,1000017505,16840455,
99,,Spot,100,1000017505,16840456,
100,,Spot,101,1000017505,16840457,
101,,Spot,102,1000017505,16840458,
102,,Spot,103,1000017505,16840459,
103,,Spot,104,1000017505,16840460,
104,,Spot,105,1000017505,16840461,
105,,Spot,106,1000017505,16840462,
106,,Spot,107,1000017505,16840463,
107,,Spot,108,1000017505,16840464,
108,,Spot,109,1000017505,16840465,
109,,Spot,110,1000017505,16840466,
110,,Spot,111,1000017505,16840467,
111,,Spot,112,1000017505,16840468,
112,,Spot,113,1000017505,16840469,
113,,Spot,114,1000017505,16840470,
114,,Spot,115,1000017505,16840471,
115,,Spot,116,1000017505,16840472,
116,,Spot,117,1000017505,16840473,
117,,Spot,118,1000017505,16840474,
118,,Spot,119,1000017505,16840475,
119,,Spot,120,1000017505,16840476,
120,,Spot,121,1000017505,16840477,
121,,Spot,122,1000017505,16840478,
122,,Spot,123,1000017505,16840479,
123,,Spot,124,1000017505,16840480,
124,,Spot,125,1000017505,16840481,
125,,Spot,126,1000017505,16840482,
126,,Spot,127,1000017505,16840483,
127,,Spot,128,1000017505,16840484,
128,,Spot,129,1000017505,16840485,
129,,Spot,130,1000017505,16840486,
130,,Spot,131,1000017505,16840487,
131,,Spot,132,1000017505,16840488,
132,,Spot,133,1000017505,16840489,
133,,Spot,134,1000017505,16840490,
134,,Spot,135,1000017505,16840491,
135,,Spot,136,1000017505,16840492,
136,,Spot,137,1000017505,16840493,
137,,Spot,138,1000017505,16840494,
138,,Spot,139,1000017505,16840495,
139,,Spot,140,1000017505,16840496,
140,,Spot,141,1000017505,16840497,
141,,Spot,142,1000017505,16840498,
142,,Spot,143,1000017505,16840499,
143,,Spot,144,1000017505,16840500,
144,,Spot,145,1000017505,16840501,
145,,Spot,146,1000017505,16840502,
146,,Spot,147,1000017505,16840503,
147,,Spot,148,1000017505,16840504,
148,,Spot,149,1000017505,16840505,
149,,Spot,150,1000017505,16840506,
150,,Spot,151,1000017505,16840507,
151,,Spot,152,1000017505,16840508,
