
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
149934,,Spot,1,Image 1,1,1000000001,1,
117154,,Spot,1,Image 1,2,1000000001,2,
123768,,Spot,1,Image 1,3,1000000001,3,
138522,,Spot,1,Image 1,4,1000000001,4,
140844,,Spot,1,Image 1,5,1000000001,5,
133856,,Spot,1,Image 1,6,1000000001,6,
127634,,Spot,1,Image 1,7,1000000001,7,
137714,,Spot,1,Image 1,8,1000000001,8,
124438,,Spot,1,Image 1,9,1000000001,9,
117914,,Spot,1,Image 1,10,1000000001,10,
148828,,Spot,1,Image 1,11,1000000001,11,
138684,,Spot,1,Image 1,12,1000000001,12,
136426,,Spot,1,Image 1,13,1000000001,13,
184156,,Spot,1,Image 1,14,1000000001,14,
177008,,Spot,1,Image 1,15,1000000001,15,
166948,,Spot,1,Image 1,16,1000000001,16,
179542,,Spot,1,Image 1,17,1000000001,17,
180686,,Spot,1,Image 1,18,1000000001,18,
164664,,Spot,1,Image 1,19,1000000001,19,
138286,,Spot,1,Image 1,20,1000000001,20,
165632,,Spot,1,Image 1,21,1000000001,21,
158706,,Spot,1,Image 1,22,1000000001,22,
172060,,Spot,1,Image 1,23,1000000001,23,
150156,,Spot,1,Image 1,24,1000000001,24,
137530,,Spot,1,Image 1,25,1000000001,25,
114850,,Spot,1,Image 1,26,1000000001,26,
133848,,Spot,1,Image 1,27,1000000001,27,
114668,,Spot,1,Image 1,28,1000000001,28,
111284,,Spot,1,Image 1,29,1000000001,29,
102024,,Spot,1,Image 1,30,1000000001,30,
110188,,Spot,1,Image 1,31,1000000001,31,
121298,,Spot,1,Image 1,32,1000000001,32,
125598,,Spot,1,Image 1,33,1000000001,33,
117646,,Spot,1,Image 1,34,1000000001,34,
114800,,Spot,1,Image 1,35,1000000001,35,
132744,,Spot,1,Image 1,36,1000000001,36,
123778,,Spot,1,Image 1,37,1000000001,37,
109552,,Spot,1,Image 1,38,1000000001,38,
108944,,Spot,1,Image 1,39,1000000001,39,
99222,,Spot,1,Image 1,40,1000000001,40,
103704,,Spot,1,Image 1,41,1000000001,41,
98108,,Spot,1,Image 1,42,1000000001,42,
109722,,Spot,1,Image 1,43,1000000001,43,
103724,,Spot,1,Image 1,44,1000000001,44,
106474,,Spot,1,Image 1,45,1000000001,45,
111418,,Spot,1,Image 1,46,1000000001,46,
125366,,Spot,1,Image 1,47,1000000001,47,
103620,,Spot,1,Image 1,48,1000000001,48,
109092,,Spot,1,Image 1,49,1000000001,49,
94922,,Spot,1,Image 1,50,1000000001,50,
78948,,Spot,1,Image 1,51,1000000001,51,
96556,,Spot,1,Image 1,52,1000000001,52,
90840,,Spot,1,Image 1,53,1000000001,53,
94066,,Spot,1,Image 1,54,1000000001,54,
97648,,Spot,1,Image 1,55,1000000001,55,
86442,,Spot,1,Image 1,56,1000000001,56,
88830,,Spot,1,Image 1,57,1000000001,57,
92514,,Spot,1,Image 1,58,1000000001,58,
91978,,Spot,1,Image 1,59,1000000001,59,
91286,,Spot,1,Image 1,60,1000000001,60,
77826,,Spot,1,Image 1,61,1000000001,61,
85358,,Spot,1,Image 1,62,1000000001,62,
90250,,Spot,1,Image 1,63,1000000001,63,
92148,,Spot,1,Image 1,64,1000000001,64,
91858,,Spot,1,Image 1,65,1000000001,65,
98418,,Spot,1,Image 1,66,1000000001,66,
106708,,Spot,1,Image 1,67,1000000001,67,
74554,,Spot,1,Image 1,68,1000000001,68,
80132,,Spot,1,Image 1,69,1000000001,69,
92676,,Spot,1,Image 1,70,1000000001,70,
88856,,Spot,1,Image 1,71,1000000001,71,
84748,,Spot,1,Image 1,72,1000000001,72,
90306,,Spot,1,Image 1,73,1000000001,73,
72868,,Spot,1,Image 1,74,1000000001,74,
95994,,Spot,1,Image 1,75,1000000001,75,
89582,,Spot,1,Image 1,76,1000000001,76,
87594,,Spot,1,Image 1,77,1000000001,77,
115088,,Spot,1,Image 1,78,1000000001,78,
98614,,Spot,1,Image 1,79,1000000001,79,
108758,,Spot,1,Image 1,80,1000000001,80,
100248,,Spot,1,Image 1,81,1000000001,81,
121522,,Spot,1,Image 1,82,1000000001,82,
109116,,Spot,1,Image 1,83,1000000001,83,
104334,,Spot,1,Image 1,84,1000000001,84,
91658,,Spot,1,Image 1,85,1000000001,85,
99222,,Spot,1,Image 1,86,1000000001,86,
104320,,Spot,1,Image 1,87,1000000001,87,
97822,,Spot,1,Image 1,88,1000000001,88,
92816,,Spot,1,Image 1,89,1000000001,89,
94214,,Spot,1,Image 1,90,1000000001,90,
91962,,Spot,1,Image 1,91,1000000001,91,
95720,,Spot,1,Image 1,92,1000000001,92,
96360,,Spot,1,Image 1,93,1000000001,93,
99742,,Spot,1,Image 1,94,1000000001,94,
86896,,Spot,1,Image 1,95,1000000001,95,
92974,,Spot,1,Image 1,96,1000000001,96,
95740,,Spot,1,Image 1,97,1000000001,97,
87332,,Spot,1,Image 1,98,1000000001,98,
90270,,Spot,1,Image 1,99,1000000001,99,
94948,,Spot,1,Image 1,100,1000000001,100,
95974,,Spot,1,Image 1,101,1000000001,101,
91874,,Spot,1,Image 1,102,1000000001,102,
82980,,Spot,1,Image 1,103,1000000001,103,
83596,,Spot,1,Image 1,104,1000000001,104,
91848,,Spot,1,Image 1,105,1000000001,105,
95014,,Spot,1,Image 1,106,1000000001,106,
103686,,Spot,1,Image 1,107,1000000001,107,
109042,,Spot,1,Image 1,108,1000000001,108,
100564,,Spot,1,Image 1,109,1000000001,109,
101436,,Spot,1,Image 1,110,1000000001,110,
97566,,Spot,1,Image 1,111,1000000001,111,
90540,,Spot,1,Image 1,112,1000000001,112,
94720,,Spot,1,Image 1,113,1000000001,113,
98576,,Spot,1,Image 1,114,1000000001,114,
95598,,Spot,1,Image 1,115,1000000001,115,
99508,,Spot,1,Image 1,116,1000000001,116,
101362,,Spot,1,Image 1,117,1000000001,117,
107582,,Spot,1,Image 1,118,1000000001,118,
97382,,Spot,1,Image 1,119,1000000001,119,
95252,,Spot,1,Image 1,120,1000000001,120,
99510,,Spot,1,Image 1,121,1000000001,121,
96552,,Spot,1,Image 1,122,1000000001,122,
93650,,Spot,1,Image 1,123,1000000001,123,
99228,,Spot,1,Image 1,124,1000000001,124,
94108,,Spot,1,Image 1,125,1000000001,125,
100200,,Spot,1,Image 1,126,1000000001,126,
90594,,Spot,1,Image 1,127,1000000001,127,
103270,,Spot,1,Image 1,128,1000000001,128,
88416,,Spot,1,Image 1,129,1000000001,129,
98130,,Spot,1,Image 1,130,1000000001,130,
110796,,Spot,1,Image 1,131,1000000001,131,
93678,,Spot,1,Image 1,132,1000000001,132,
97102,,Spot,1,Image 1,133,1000000001,133,
129736,,Spot,1,Image 1,134,1000000001,134,
125420,,Spot,1,Image 1,135,1000000001,135,
114122,,Spot,1,Image 1,136,1000000001,136,
96530,,Spot,1,Image 1,137,1000000001,137,
102004,,Spot,1,Image 1,138,1000000001,138,
101062,,Spot,1,Image 1,139,1000000001,139,
104994,,Spot,1,Image 1,140,1000000001,140,
93560,,Spot,1,Image 1,141,1000000001,141,
103932,,Spot,1,Image 1,142,1000000001,142,
106310,,Spot,1,Image 1,143,1000000001,143,
97048,,Spot,1,Image 1,144,1000000001,144,
101952,,Spot,1,Image 1,145,1000000001,145,
113398,,Spot,1,Image 1,146,1000000001,146,
108236,,Spot,1,Image 1,147,1000000001,147,
96736,,Spot,1,Image 1,148,1000000001,148,
105632,,Spot,1,Image 1,149,1000000001,149,
80280,,Spot,1,Image 1,150,1000000001,150,
104678,,Spot,1,Image 1,151,1000000001,151,
126950,,Spot,1,Image 1,152,1000000001,152,
112118,,Spot,1,Image 1,153,1000000001,153,
84910,,Spot,1,Image 1,154,1000000001,154,
67228,,Spot,1,Image 1,155,1000000001,155,
76384,,Spot,1,Image 1,156,1000000001,156,
77730,,Spot,1,Image 1,157,1000000001,157,
76576,,Spot,1,Image 1,158,1000000001,158,
98634,,Spot,1,Image 1,159,1000000001,160,
83416,,Spot,1,Image 1,160,1000000001,161,
109392,,Spot,1,Image 1,161,1000000001,162,
100142,,Spot,1,Image 1,162,1000000001,163,
103206,,Spot,1,Image 1,163,1000000001,164,
100064,,Spot,1,Image 1,164,1000000001,165,
88150,,Spot,1,Image 1,165,1000000001,166,
90460,,Spot,1,Image 1,166,1000000001,167,
81844,,Spot,1,Image 1,167,1000000001,168,
89428,,Spot,1,Image 1,168,1000000001,169,
77838,,Spot,1,Image 1,169,1000000001,170,
80454,,Spot,1,Image 1,170,1000000001,171,
86500,,Spot,1,Image 1,171,1000000001,172,
100276,,Spot,1,Image 1,172,1000000001,173,
103474,,Spot,1,Image 1,173,1000000001,174,
89806,,Spot,1,Image 1,174,1000000001,175,
96168,,Spot,1,Image 1,175,1000000001,176,
92406,,Spot,1,Image 1,176,1000000001,177,
85832,,Spot,1,Image 1,177,1000000001,178,
90084,,Spot,1,Image 1,178,1000000001,179,
105328,,Spot,1,Image 1,179,1000000001,180,
116870,,Spot,1,Image 1,180,1000000001,181,
119146,,Spot,1,Image 1,181,1000000001,182,
97102,,Spot,1,Image 1,182,1000000001,183,
86540,,Spot,1,Image 1,183,1000000001,184,
93446,,Spot,1,Image 1,184,1000000001,185,
84744,,Spot,1,Image 1,185,1000000001,186,
86434,,Spot,1,Image 1,186,1000000001,187,
87352,,Spot,1,Image 1,187,1000000001,188,
93938,,Spot,1,Image 1,188,1000000001,189,
109176,,Spot,1,Image 1,189,1000000001,190,
117592,,Spot,1,Image 1,190,1000000001,191,
109998,,Spot,1,Image 1,191,1000000001,192,
89568,,Spot,1,Image 1,192,1000000001,193,
